ts,user_id,device_id,source,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,time_s
2026-03-13 16:59:19.142000+00:00,0,0,0,16195,0,32113,28142,33084,238,12598,0,48077,24698,82712,2802,106600,20054,28932,171660,29233,2821,88270,4253,39238,169890,67102,2965,0.0
2026-03-13 16:59:19.182000+00:00,0,0,0,16075,0,32060,27972,33013,235,12594,0,48085,24743,82668,2794,106554,20095,29004,171624,29257,2825,88317,4256,39300,170034,67196,2981,0.04
2026-03-13 16:59:19.222000+00:00,0,0,0,15945,0,31968,27809,32901,246,12574,0,48100,24775,82634,2802,106443,20122,29018,171532,29225,2823,88350,4254,39346,170137,67257,2988,0.08
2026-03-13 16:59:19.262000+00:00,0,0,0,15870,0,31884,27726,32816,262,12555,0,48113,24781,82633,2818,106341,20133,28966,171432,29158,2820,88365,4251,39363,170165,67260,2989,0.12
2026-03-13 16:59:19.302000+00:00,0,0,0,15870,0,31839,27728,32787,274,12556,0,48117,24764,82658,2829,106299,20130,28900,171369,29097,2817,88373,4246,39357,170144,67227,2985,0.16
2026-03-13 16:59:19.342000+00:00,0,0,0,15912,0,31829,27776,32802,280,12564,0,48106,24736,82686,2836,106297,20110,28859,171350,29067,2812,88370,4239,39337,170104,67188,2979,0.2
2026-03-13 16:59:19.382000+00:00,0,0,0,15960,0,31839,27830,32839,281,12567,0,48083,24710,82701,2837,106315,20084,28846,171364,29064,2812,88362,4236,39314,170070,67155,2976,0.24
2026-03-13 16:59:19.422000+00:00,0,0,0,15999,0,31861,27872,32888,270,12571,0,48069,24697,82719,2827,106347,20071,28860,171404,29077,2816,88357,4239,39298,170063,67140,2974,0.28
2026-03-13 16:59:19.462000+00:00,0,0,0,16023,0,31889,27902,32939,257,12573,0,48070,24698,82750,2814,106368,20071,28895,171448,29104,2819,88353,4243,39294,170083,67148,2972,0.32
2026-03-13 16:59:19.502000+00:00,0,0,0,16026,0,31911,27929,32974,256,12562,0,48075,24703,82781,2812,106352,20072,28925,171472,29130,2824,88338,4239,39297,170101,67162,2971,0.36
2026-03-13 16:59:19.542000+00:00,0,0,0,16023,0,31920,27963,32986,261,12542,0,48074,24706,82795,2818,106317,20066,28929,171475,29137,2831,88313,4231,39295,170099,67161,2974,0.4
2026-03-13 16:59:19.582000+00:00,0,0,0,16028,0,31931,28006,32990,263,12523,0,48074,24703,82798,2822,106298,20048,28909,171477,29128,2837,88281,4221,39281,170076,67147,2976,0.44
