Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Fair_Fast_2.5mm,Unpolarized_A_Green,C5,PI,-279.79160086030134,375.8672232670593,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_A_Red,C2,PI,-226.46714103632056,69.35450356791928,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_A_IR,C4,PI,-221.61636896245875,55.40450899630294,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_Green,C11,PI,-203.07853360173715,88.12055660664323,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_Red,C8,PI,-346.2715693708792,722.0140231292447,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_IR,C10,PI,-344.56277633095175,385.4572331408577,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_Green,C13,PI,-205.5636548601409,68.00552955119404,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_Red,C12,PI,-186.778714568082,128.5195688803639,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_IR,C15,PI,-203.5031665441745,64.06888424039683,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_Green,C19,PI,-199.3023982644778,57.016228626236774,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_Red,C18,PI,-199.52539348727916,65.93788003132053,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_IR,C21,PI,-200.76470754483688,77.63493559237732,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_A_Green,C5,PI,-247.92488413631122,69.29171226060866,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_A_Red,C2,PI,-243.63811420315398,61.52703054620404,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_A_IR,C4,PI,-239.62730313759133,19.357559249528325,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_B_Green,C11,PI,-181.36163921303785,32.493298346959115,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_B_Red,C8,PI,-258.8364707912873,194.92991205335386,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_B_IR,C10,PI,-245.0939689939601,60.16544574441685,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Co-Polarized_Green,C13,PI,-176.0476013950498,30.082782276520675,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Co-Polarized_Red,C12,PI,-181.51717166690852,27.406281815205062,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Co-Polarized_IR,C15,PI,-177.07460914437564,29.676568054491305,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Cross-Polarized_Green,C19,PI,-178.45864600301715,28.58513879689675,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Cross-Polarized_Red,C18,PI,-180.17605857725025,16.7230212070069,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Cross-Polarized_IR,C21,PI,-176.08255033347237,27.50715346072905,Day_1,Fair,Medium,2.5mm,Experiment_2,,
