time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T03:07:06.064Z,44,810,1255,269,900,1393,4200,3624,11723,3018,2975,9633,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.104Z,46,816,1258,271,904,1394,4196,3637,11733,3019,2983,9645,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.144Z,42,816,1262,269,906,1395,4188,3650,11732,3015,2982,9642,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.184Z,31,813,1263,261,903,1394,4188,3651,11724,3017,2980,9640,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.224Z,20,803,1258,250,893,1390,4198,3644,11725,3029,2988,9650,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.264Z,16,790,1253,245,882,1386,4212,3642,11742,3040,3000,9666,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.304Z,18,785,1249,247,881,1386,4217,3639,11747,3039,2999,9664,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.344Z,21,793,1245,248,891,1388,4212,3628,11715,3023,2982,9627,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.384Z,21,803,1243,245,902,1389,4200,3617,11668,3002,2960,9566,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.424Z,22,807,1244,245,903,1391,4189,3615,11650,2989,2954,9534,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.464Z,30,803,1250,253,897,1396,4190,3624,11671,2992,2968,9558,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.504Z,38,797,1254,260,892,1403,4204,3640,11707,3009,2993,9604,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.544Z,37,794,1254,259,891,1406,4220,3654,11729,3023,3009,9630,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.584Z,32,794,1252,253,891,1403,4223,3664,11731,3022,3012,9630,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.624Z,29,798,1251,250,891,1397,4212,3671,11727,3013,3012,9633,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.664Z,32,801,1248,253,891,1389,4203,3681,11735,3011,3018,9650,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.713Z,33,801,1242,254,890,1381,4208,3691,11750,3019,3029,9669,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.753Z,33,797,1237,252,887,1377,4214,3691,11758,3023,3031,9667,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.793Z,35,796,1237,251,887,1381,4212,3671,11742,3014,3013,9629,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.833Z,38,799,1242,251,894,1390,4204,3641,11705,3000,2983,9572,Day_2,Dark,Fast,5mm,Experiment_2
2025-10-23T03:07:06.873Z,40,803,1249,252,903,1397,4200,3619,11685,2996,2966,9548,Day_2,Dark,Fast,5mm,Experiment_2
