time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:21:25.982Z,32,775,1498,274,890,1220,4140,3561,12349,2716,2535,7047,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:21:26.022Z,35,780,1488,278,894,1212,4147,3551,12331,2722,2526,7037,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:21:26.062Z,31,782,1479,276,896,1206,4149,3552,12341,2724,2528,7030,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:21:26.102Z,23,787,1477,271,901,1205,4159,3575,12365,2725,2542,7027,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:21:26.142Z,17,791,1485,267,906,1211,4171,3601,12387,2727,2558,7030,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:21:26.182Z,17,790,1501,268,907,1223,4177,3611,12403,2729,2563,7039,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:25:14.518Z,26,781,1519,274,901,1237,4170,3610,12407,2728,2559,7044,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:25:14.558Z,35,768,1524,281,891,1242,4155,3613,12404,2725,2552,7041,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:25:14.598Z,35,761,1512,281,884,1231,4150,3613,12413,2724,2543,7038,Day_2,Dark,Intermediate,3.75mm,Experiment_2
2025-10-23T02:25:14.638Z,29,764,1493,274,883,1214,4158,3601,12432,2730,2533,7041,Day_2,Dark,Intermediate,3.75mm,Experiment_2
