time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T03:01:34.179Z,34,822,1273,258,914,1413,4265,3742,11946,3111,3129,9967,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.219Z,37,858,1264,265,916,1406,4259,3743,11880,3099,3113,9910,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.259Z,36,1020,1253,268,902,1400,4263,3730,11832,3091,3096,9865,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.299Z,32,1334,1250,262,885,1398,4266,3720,11831,3090,3092,9866,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.339Z,28,1586,1251,250,880,1400,4262,3730,11862,3098,3103,9907,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.379Z,28,1552,1251,245,884,1400,4255,3750,11895,3109,3118,9949,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.419Z,31,1307,1251,247,885,1397,4254,3754,11914,3120,3126,9971,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.459Z,34,1019,1249,250,888,1394,4259,3735,11918,3128,3124,9983,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.499Z,31,776,1245,250,899,1394,4257,3716,11914,3126,3119,9991,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:01:34.539Z,25,569,1243,250,911,1397,4247,3712,11913,3114,3116,9993,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.480Z,20,403,1244,252,913,1402,4243,3711,11916,3105,3114,9988,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.520Z,19,355,1246,256,902,1403,4249,3712,11925,3105,3115,9989,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.560Z,21,406,1247,258,891,1400,4254,3724,11942,3113,3125,10008,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.600Z,23,499,1250,258,891,1396,4260,3750,11959,3124,3145,10031,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.640Z,23,645,1257,253,900,1395,4268,3778,11970,3134,3163,10040,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.680Z,25,819,1265,251,909,1402,4275,3790,11973,3141,3169,10035,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.720Z,26,968,1274,252,912,1414,4286,3778,11972,3147,3162,10030,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.760Z,23,1067,1279,251,915,1422,4296,3762,11969,3148,3152,10029,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.800Z,19,1110,1275,249,922,1421,4297,3763,11961,3143,3153,10018,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.841Z,18,1087,1267,249,926,1415,4292,3778,11943,3133,3161,9984,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.881Z,20,986,1263,251,918,1413,4281,3779,11925,3118,3153,9937,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.921Z,21,871,1263,253,901,1413,4266,3747,11916,3100,3119,9904,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:11.961Z,19,808,1263,251,887,1411,4256,3708,11906,3089,3087,9882,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.001Z,14,792,1265,245,882,1408,4254,3691,11884,3087,3074,9867,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.041Z,13,795,1265,240,884,1405,4249,3694,11867,3089,3078,9867,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.081Z,16,801,1261,244,888,1399,4245,3699,11868,3093,3085,9883,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.121Z,20,799,1253,251,885,1394,4248,3697,11884,3097,3087,9903,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.161Z,21,796,1249,256,881,1391,4258,3696,11902,3097,3083,9913,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.200Z,19,801,1251,255,886,1391,4270,3705,11911,3096,3079,9908,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.240Z,18,811,1256,254,894,1394,4293,3714,11902,3100,3074,9886,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.280Z,20,811,1259,257,897,1396,4328,3708,11869,3102,3060,9842,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.320Z,23,806,1260,261,894,1398,4353,3685,11824,3085,3040,9785,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.360Z,24,806,1265,262,893,1403,4337,3660,11795,3059,3026,9752,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.400Z,21,807,1274,255,895,1410,4295,3644,11804,3054,3028,9768,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.440Z,18,808,1275,248,897,1413,4265,3639,11835,3066,3037,9806,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.480Z,20,810,1266,247,903,1407,4250,3641,11860,3074,3048,9836,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.520Z,27,815,1254,253,911,1399,4233,3646,11877,3069,3054,9853,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.560Z,30,816,1247,258,914,1395,4214,3661,11885,3060,3058,9861,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.600Z,26,809,1249,258,908,1397,4200,3687,11879,3054,3068,9857,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.640Z,20,799,1259,256,898,1403,4197,3707,11869,3054,3082,9856,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.680Z,21,792,1264,257,891,1408,4210,3711,11873,3066,3092,9866,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.720Z,29,794,1264,260,891,1411,4241,3711,11883,3086,3098,9878,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.760Z,33,803,1262,259,896,1410,4269,3718,11889,3102,3098,9882,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.800Z,29,812,1260,251,900,1406,4274,3726,11891,3104,3094,9876,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.840Z,21,813,1255,245,900,1400,4262,3727,11885,3093,3086,9854,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.880Z,20,810,1251,247,897,1396,4241,3727,11861,3071,3075,9812,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.921Z,24,807,1247,253,896,1393,4214,3723,11826,3047,3061,9771,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:12.961Z,26,808,1242,256,897,1388,4192,3719,11806,3033,3054,9760,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:13.001Z,24,811,1236,253,898,1383,4185,3726,11813,3037,3062,9786,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:13.041Z,22,814,1233,250,901,1379,4197,3735,11843,3050,3078,9829,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:13.081Z,25,813,1235,250,904,1379,4222,3728,11874,3064,3083,9861,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:13.121Z,29,811,1241,254,903,1384,4248,3708,11889,3074,3076,9870,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:13.161Z,27,810,1250,255,901,1391,4260,3693,11886,3080,3069,9866,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:13.201Z,19,810,1259,252,898,1397,4264,3693,11878,3089,3075,9871,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:13.241Z,15,810,1261,251,894,1399,4263,3706,11881,3098,3088,9889,Day_2,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:03:13.281Z,15,809,1255,251,892,1397,4249,3721,11894,3096,3097,9905,Day_2,Dark,Intermediate,5mm,Experiment_2
