time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:19:14.432Z,24,759,1478,271,878,1204,4171,3576,12531,2748,2562,7140,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.472Z,24,762,1478,270,883,1210,4177,3579,12552,2750,2563,7144,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.512Z,24,768,1485,269,891,1218,4197,3589,12566,2756,2567,7142,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.552Z,26,772,1490,271,894,1223,4219,3596,12566,2761,2567,7135,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.592Z,34,773,1491,277,892,1222,4223,3598,12556,2762,2562,7124,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.632Z,42,775,1489,283,892,1217,4217,3595,12554,2759,2559,7116,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.672Z,47,782,1488,285,897,1216,4208,3591,12561,2758,2561,7116,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.712Z,51,790,1489,288,903,1219,4191,3588,12548,2755,2565,7115,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.752Z,55,792,1489,294,907,1221,4163,3586,12498,2748,2568,7107,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.792Z,51,787,1493,295,906,1226,4129,3588,12434,2738,2571,7097,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.832Z,45,779,1500,290,899,1230,4105,3591,12391,2733,2577,7092,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.872Z,44,772,1506,286,892,1233,4111,3597,12388,2738,2582,7093,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.912Z,45,769,1508,283,888,1232,4144,3610,12425,2750,2582,7102,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.952Z,39,769,1505,276,885,1229,4170,3624,12477,2758,2580,7113,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:14.992Z,30,771,1496,268,884,1222,4175,3631,12507,2758,2578,7118,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.032Z,25,773,1486,264,886,1214,4178,3621,12506,2759,2576,7120,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.072Z,24,773,1488,263,886,1215,4190,3602,12493,2764,2578,7123,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.112Z,20,772,1503,263,886,1226,4199,3583,12480,2766,2591,7124,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.152Z,18,774,1515,265,886,1233,4196,3580,12470,2760,2609,7120,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.192Z,19,774,1509,269,887,1225,4180,3597,12478,2749,2618,7120,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.232Z,22,771,1493,272,886,1210,4155,3615,12513,2737,2612,7131,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.272Z,22,768,1485,271,886,1203,4133,3622,12558,2729,2599,7149,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.312Z,22,769,1491,267,889,1208,4133,3630,12592,2731,2592,7159,Day_2,Dark,Slow,3.75mm,Experiment_2
2025-10-23T02:19:15.352Z,25,773,1499,266,893,1215,4150,3643,12608,2740,2596,7158,Day_2,Dark,Slow,3.75mm,Experiment_2
