time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:56:56.377Z,151,1138,4183,485,1572,6006,3128,2882,11551,1965,2083,10802,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:56:56.417Z,164,1143,4182,496,1576,6012,3135,2890,11567,1967,2088,10816,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:56:56.457Z,175,1151,4180,508,1583,6016,3142,2897,11567,1969,2089,10827,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:56:56.497Z,176,1156,4175,512,1589,6015,3151,2902,11548,1974,2084,10828,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:56:56.537Z,171,1160,4174,512,1593,6013,3151,2899,11532,1976,2077,10821,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:56:56.577Z,161,1167,4178,507,1599,6010,3136,2884,11536,1972,2069,10819,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:56:56.617Z,154,1173,4182,498,1605,6008,3113,2862,11553,1964,2063,10825,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.149Z,153,1174,4183,490,1607,6005,3091,2849,11564,1954,2060,10832,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.189Z,156,1167,4180,490,1604,6002,3072,2844,11558,1942,2055,10832,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.229Z,166,1160,4181,500,1600,6004,3065,2846,11543,1932,2051,10824,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.269Z,175,1158,4186,509,1600,6011,3075,2860,11539,1931,2055,10819,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.309Z,175,1160,4189,510,1604,6014,3089,2881,11552,1941,2069,10822,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.349Z,170,1164,4182,507,1607,6010,3096,2899,11562,1951,2085,10824,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.389Z,163,1162,4167,502,1601,5994,3100,2911,11560,1958,2100,10819,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.429Z,152,1149,4098,488,1578,5892,3127,2935,11563,1988,2133,10805,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.469Z,131,1109,3819,454,1506,5456,3244,3015,11612,2114,2247,10767,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.509Z,100,1024,3165,397,1343,4419,3522,3204,11743,2406,2507,10680,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.549Z,64,913,2290,332,1127,3034,3890,3459,11915,2792,2855,10560,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.589Z,36,830,1627,286,966,1986,4165,3665,12031,3079,3124,10460,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.629Z,28,800,1343,268,905,1536,4278,3774,12073,3198,3248,10401,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.669Z,30,798,1277,265,899,1430,4296,3811,12087,3218,3276,10367,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.709Z,29,799,1272,262,901,1421,4289,3802,12084,3209,3257,10326,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.749Z,23,795,1272,256,900,1422,4287,3780,12057,3200,3230,10280,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.789Z,18,792,1269,255,901,1419,4299,3775,12033,3201,3223,10262,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.829Z,19,796,1264,258,904,1413,4319,3786,12035,3211,3236,10285,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.869Z,22,802,1258,258,902,1408,4333,3789,12052,3225,3249,10325,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.909Z,23,802,1253,256,895,1406,4336,3783,12068,3235,3255,10357,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.949Z,24,800,1250,256,891,1408,4342,3789,12080,3242,3262,10372,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:23.989Z,25,798,1253,256,891,1409,4359,3809,12085,3246,3273,10376,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:24.029Z,24,800,1257,253,893,1407,4375,3826,12088,3245,3285,10375,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:24.069Z,21,810,1257,247,899,1402,4379,3828,12091,3248,3288,10376,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:24.109Z,22,822,1253,244,905,1397,4370,3826,12098,3254,3285,10376,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:24.149Z,22,832,1253,244,912,1398,4353,3831,12116,3254,3281,10380,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:24.189Z,20,835,1263,242,917,1407,4347,3831,12149,3248,3281,10398,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:24.229Z,21,829,1272,241,916,1416,4352,3814,12180,3243,3279,10424,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:24.269Z,27,820,1275,248,910,1420,4354,3789,12186,3241,3271,10440,Day_2,Dark,Slow,5mm,Experiment_2
2025-10-23T02:59:24.309Z,33,814,1273,259,903,1420,4351,3775,12161,3239,3266,10434,Day_2,Dark,Slow,5mm,Experiment_2
