Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,SkinTone,Speed,Depth,Experiment
Unpolarized_A_Green,C5,0,500,0.0,10.0,-3.552713678800501e-16,8.908883818534402,0.2469089034138862,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,50,550,1.0,11.0,1.1368683772161603e-16,9.678957914052368,0.3183046234752645,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,100,600,2.0,12.0,1.1368683772161603e-16,8.741358062402371,0.1265281446412282,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,150,650,3.0,13.0,0.0,9.046026983940262,-0.0274428306009483,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,200,700,4.0,14.0,-1.9895196601282808e-16,9.199635132303364,0.1555608096643009,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,250,750,5.0,15.0,2.7000623958883806e-16,9.577270160293772,0.0623613122840798,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,300,800,6.0,16.0,8.5265128291212e-17,9.45436851834982,0.2122606252803233,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,350,850,7.0,17.0,-1.9184653865522702e-16,9.399485388270213,0.0118217919794827,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,400,900,8.0,18.0,-1.1368683772161603e-16,9.121103994628998,0.0143147180931945,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,450,950,9.0,19.0,-3.1263880373444406e-16,9.010769684069096,0.0573474705969534,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,500,1000,10.0,20.0,-1.4210854715202004e-16,8.440601812932401,0.1042897899851206,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,550,1050,11.0,21.0,7.105427357601002e-18,8.300422476162163,-0.0336697779743766,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,600,1100,12.0,22.0,9.947598300641404e-17,8.848359529193079,0.1828596769201617,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,650,1150,13.0,23.0,8.5265128291212e-17,8.501946135106786,0.191906028447624,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,700,1200,14.0,24.0,1.8474111129762604e-16,8.1428382154827,0.2080657249869835,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,750,1250,15.0,25.0,-2.8421709430404013e-16,8.160930540943328,0.3074787933435925,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,800,1300,16.0,26.0,8.5265128291212e-17,8.010706224490022,0.3058419187243463,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,850,1350,17.0,27.0,8.5265128291212e-17,8.823258703614169,0.1140460328330037,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,900,1400,18.0,28.0,-7.105427357601002e-17,8.01865444882154,0.3200700808752867,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,950,1450,19.0,29.0,4.2632564145606006e-17,8.228024929193255,0.2041879450107528,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,1000,1500,20.0,30.0,-9.237055564881302e-17,8.215130529515266,0.1478588935946117,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,1050,1550,21.0,31.0,0.0,8.460210127860293,0.2572393412789169,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,1100,1600,22.0,32.0,2.5579538487363605e-16,8.23867872290794,-0.0499526524007071,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,1150,1650,23.0,33.0,4.2632564145606006e-17,8.300552832288822,-0.0087003694384021,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,0,500,0.0,10.0,-1.9895196601282808e-16,9.865089629792896,0.1842323910261112,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,50,550,1.0,11.0,-3.268496584496461e-16,10.549727633807372,0.3940679967345439,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,100,600,2.0,12.0,1.4210854715202004e-17,11.084165288263156,0.2674145199666659,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,150,650,3.0,13.0,2.842170943040401e-17,11.198895646778988,0.1761980934794643,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,200,700,4.0,14.0,-1.4210854715202004e-17,12.429144076539172,-0.2368761732086249,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,250,750,5.0,15.0,-7.105427357601002e-17,11.488833737575408,0.1729023695113639,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,300,800,6.0,16.0,-7.105427357601002e-17,11.639343715709842,0.2467075254260322,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,350,850,7.0,17.0,1.5631940186722203e-16,11.74034507680585,0.2698331943114467,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,400,900,8.0,18.0,-2.7711166694643907e-16,11.745450538127928,0.0916050974000642,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,450,950,9.0,19.0,1.1368683772161603e-16,11.53244231536772,0.0270028768789284,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,500,1000,10.0,20.0,2.842170943040401e-16,11.509134387837976,-0.1042149518899968,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,550,1050,11.0,21.0,-4.263256414560601e-17,10.818334731917757,-0.1043334700963572,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,600,1100,12.0,22.0,-3.2329694477084563e-16,10.768699490350844,-0.2576982822781068,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,650,1150,13.0,23.0,-9.947598300641404e-17,11.060078921221264,-0.1690545644256989,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,700,1200,14.0,24.0,4.405364961712621e-16,10.730533596756649,-0.0478052562263309,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,750,1250,15.0,25.0,-2.5579538487363605e-16,10.770732442563055,-0.0515591645179954,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,800,1300,16.0,26.0,2.842170943040401e-16,10.479983504271114,-0.3440848562551033,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,850,1350,17.0,27.0,-3.979039320256561e-16,11.406726522938516,-0.0698082688201979,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,900,1400,18.0,28.0,-3.6948222259525213e-16,10.679163747433572,0.0629747610481449,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,950,1450,19.0,29.0,3.979039320256561e-16,10.367603397040613,-0.0600890339957414,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,1000,1500,20.0,30.0,-3.979039320256561e-16,10.549416791787102,-0.0230380650261542,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,1050,1550,21.0,31.0,1.1368683772161603e-16,10.557200512213823,-0.0376783383864324,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,1100,1600,22.0,32.0,0.0,10.43444249824732,-0.0161598886453038,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Red,C2,1150,1650,23.0,33.0,2.2737367544323206e-16,10.466703879833316,0.0512370539642688,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,0,500,0.0,10.0,-7.105427357601002e-17,9.624492841470966,0.2359070147142761,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,50,550,1.0,11.0,2.842170943040401e-17,9.33965365827072,0.1768854093114987,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,100,600,2.0,12.0,-1.4210854715202004e-16,9.933677183542905,0.1202688586699882,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,150,650,3.0,13.0,3.552713678800501e-17,20.16644365862045,-2.270725377250242,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,200,700,4.0,14.0,8.5265128291212e-17,25.14881893904669,-7.14040454325847,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,250,750,5.0,15.0,-1.9895196601282808e-16,25.13216382540375,-7.1969229611905385,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,300,800,6.0,16.0,3.1263880373444406e-16,25.216848874705033,-7.1635189772834735,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,350,850,7.0,17.0,0.0,25.209408907396153,-7.136544300346179,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,400,900,8.0,18.0,5.684341886080802e-17,25.216685434516453,-7.1597220901298435,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,450,950,9.0,19.0,7.105427357601002e-17,27.30816799025897,-6.101979216481753,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,500,1000,10.0,20.0,3.410605131648481e-16,27.47544481307603,-6.061644936602461,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,550,1050,11.0,21.0,-1.70530256582424e-16,27.42142405915216,-6.108174975457904,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,600,1100,12.0,22.0,-2.4158453015843413e-16,27.227105977659903,-6.163268109444006,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,650,1150,13.0,23.0,0.0,14.92688147537088,-3.364520252811684,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,700,1200,14.0,24.0,-1.70530256582424e-16,14.183011922712527,-3.899619804729116,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,750,1250,15.0,25.0,5.684341886080802e-17,14.21739154113772,-3.945971469434337,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,800,1300,16.0,26.0,1.2789769243681802e-16,14.11644521448748,-4.052040348401872,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,850,1350,17.0,27.0,-1.9895196601282808e-16,14.002200393828357,-4.187094926717279,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,900,1400,18.0,28.0,-7.673861546209082e-16,14.580649669601527,-3.823608749537239,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,950,1450,19.0,29.0,1.2789769243681802e-16,8.938091849107744,0.1155925565068266,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,1000,1500,20.0,30.0,2.8421709430404013e-16,8.596988721320434,0.0001806092894436,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,1050,1550,21.0,31.0,-1.1368683772161603e-16,8.443355547841241,-0.121464148568876,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,1100,1600,22.0,32.0,-1.2789769243681802e-16,8.497970558824282,-0.0790602027976614,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_IR,C4,1150,1650,23.0,33.0,2.842170943040401e-17,8.889637298079746,0.0029167054013531,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,0,500,0.0,10.0,-5.684341886080802e-17,8.74475743561502,0.0493575454086785,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,50,550,1.0,11.0,1.1368683772161603e-16,9.262648469385192,0.0583884109991964,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,100,600,2.0,12.0,2.842170943040401e-17,8.324476879601914,-0.1657501842576967,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,150,650,3.0,13.0,1.70530256582424e-16,8.359409381784044,-0.1994684131148103,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,200,700,4.0,14.0,-8.5265128291212e-17,8.732324024865715,-0.1088055077138888,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,250,750,5.0,15.0,6.252776074688881e-16,9.166747055052635,-0.4156499205638556,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,300,800,6.0,16.0,-1.4210854715202004e-17,8.51943297929841,0.1053119648498373,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,350,850,7.0,17.0,-3.7303493627405263e-16,8.502155447230628,0.0879077707537678,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,400,900,8.0,18.0,-2.2026824808563103e-16,8.362601286544775,-0.0561865456711899,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,450,950,9.0,19.0,5.684341886080802e-17,8.351319909568693,-0.0435267088200441,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,500,1000,10.0,20.0,1.1368683772161603e-16,8.000682351622418,-0.0683988649579731,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,550,1050,11.0,21.0,-4.1211478674085813e-16,7.887658229371395,-0.037682822006587,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,600,1100,12.0,22.0,9.947598300641404e-17,8.714932174830334,0.2411258375623141,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,650,1150,13.0,23.0,4.263256414560601e-17,8.593949418206112,0.2234761402283538,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,700,1200,14.0,24.0,1.4210854715202004e-17,8.136561507419081,0.2755180208634251,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,750,1250,15.0,25.0,5.684341886080802e-17,8.333417135231178,0.3999355952075531,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,800,1300,16.0,26.0,9.237055564881302e-17,8.162661627229857,0.3337257453902419,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,850,1350,17.0,27.0,2.5579538487363605e-16,8.668820413156714,0.0657028026080265,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,900,1400,18.0,28.0,-8.5265128291212e-17,7.786953100795842,0.4390115945647098,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,950,1450,19.0,29.0,2.842170943040401e-17,7.843590152113612,0.4090391648229804,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,1000,1500,20.0,30.0,-2.1316282072803e-16,7.889581578063011,0.3795849580631957,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,1050,1550,21.0,31.0,-2.842170943040401e-17,8.492302568175571,0.2493638732897026,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,1100,1600,22.0,32.0,-2.1316282072803e-16,7.9431004053441825,0.1715124256973522,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_B_Green,C11,1150,1650,23.0,33.0,-7.105427357601002e-17,7.987438810543375,0.0555713160119006,Day_2,Dark,Fast,2.5mm,Experiment_2
