Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Dark_Fast_3.75mm,Unpolarized_A_Green,C5,PI,-234.65013177604297,81.01973453975374,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_A_Red,C2,PI,-288.43865137911973,255.8898319818464,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_A_IR,C4,PI,-240.70669231262855,41.21596426271232,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_B_Green,C11,PI,-261.054317808545,56.80624673834958,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_B_Red,C8,PI,-217.0974501037922,67.58068290999815,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_B_IR,C10,PI,-219.1174953717666,26.199703914472465,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Co-Polarized_Green,C13,PI,-640.5176822031355,1239.1113355520604,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Co-Polarized_Red,C12,PI,-246.24489200802387,480.81193819606983,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Co-Polarized_IR,C15,PI,-186.3420327020336,130.04339335725103,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Cross-Polarized_Green,C19,PI,-200.1029570343558,38.79143151896453,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Cross-Polarized_Red,C18,PI,-210.43732158087545,58.4822261526074,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Cross-Polarized_IR,C21,PI,-225.76382661565643,125.38749990343348,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_A_Green,C5,PI,-913.9104490084324,1536.4874685660109,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_A_Red,C2,PI,-277.2314355024376,175.47118650579804,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_A_IR,C4,PI,1116.088410612169,3339.65322656577,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_B_Green,C11,PI,-215.20823523759609,57.895451952456085,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_B_Red,C8,PI,-228.7472094789486,116.71245276433936,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_B_IR,C10,PI,-237.42485659314568,141.94490326659394,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Co-Polarized_Green,C13,PI,-529.6152416290122,1225.9268959512688,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Co-Polarized_Red,C12,PI,-242.82797045373252,138.59269025046035,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Co-Polarized_IR,C15,PI,-492.2872672084568,1547.5503173530842,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Cross-Polarized_Green,C19,PI,-2394.187647805071,8801.418195006072,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Cross-Polarized_Red,C18,PI,-339.171682717817,790.9771430349446,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Cross-Polarized_IR,C21,PI,102.32397301961132,1030.5257017170827,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_A_Green,C5,PI,-275.68175616833577,127.92108944010457,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_A_Red,C2,PI,-269.9520477566415,168.2990778492719,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_A_IR,C4,PI,-212.5637891537795,48.77824646875883,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_B_Green,C11,PI,-211.06773846534048,29.945250129281433,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_B_Red,C8,PI,-226.55468871559736,16.330912019215056,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_B_IR,C10,PI,-225.01669410573504,39.64878426952659,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Co-Polarized_Green,C13,PI,-201.2501551241283,77.71127211552438,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Co-Polarized_Red,C12,PI,-167.7392162731773,226.4030399782825,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Co-Polarized_IR,C15,PI,-177.72489785241945,63.94727258801055,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Cross-Polarized_Green,C19,PI,-186.7409447625897,52.795323231188945,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Cross-Polarized_Red,C18,PI,-223.24749120307348,115.49522319056727,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Cross-Polarized_IR,C21,PI,-181.87833857800365,87.0537164529734,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_A_Green,C5,PI,-216.9388138605817,88.04196461786366,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_A_Red,C2,PI,-224.28848853823095,133.94070316812886,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_A_IR,C4,PI,-201.5914988663062,136.37347409009084,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_B_Green,C11,PI,-227.65159681623817,30.991837589653223,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_B_Red,C8,PI,-237.44053598742167,57.21101259526659,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_B_IR,C10,PI,-183.001817612266,29.395277012892286,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Co-Polarized_Green,C13,PI,-170.42035030227393,45.963870904221736,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Co-Polarized_Red,C12,PI,-225.87845514222607,708.8972400792601,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Co-Polarized_IR,C15,PI,-127.52082412462104,512.7904428767164,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Cross-Polarized_Green,C19,PI,-338.7175807918132,422.2076776531182,Day_2,Dark,Fast,5mm,Experiment_2,,
