time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T00:35:12.189Z,2740,6948,24529,3602,8622,27616,4214,5759,22410,3871,6394,24487,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:35:12.229Z,2742,6952,24510,3605,8624,27609,4226,5776,22464,3877,6416,24571,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:35:12.269Z,2745,6957,24495,3611,8628,27611,4241,5804,22554,3894,6453,24702,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:35:12.309Z,2749,6955,24487,3616,8629,27617,4242,5823,22628,3903,6482,24805,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:35:12.349Z,2754,6945,24483,3620,8623,27621,4226,5825,22653,3900,6491,24845,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:35:12.389Z,2757,6939,24483,3620,8616,27624,4208,5820,22648,3893,6493,24847,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:35:12.429Z,2754,6935,24480,3615,8609,27621,4203,5821,22671,3898,6504,24879,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:35:12.469Z,2749,6929,24464,3610,8603,27608,4211,5823,22730,3912,6523,24962,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:36:39.355Z,2743,6926,24441,3606,8602,27588,4219,5820,22781,3925,6537,25048,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:36:39.395Z,2741,6933,24427,3604,8610,27575,4228,5819,22798,3936,6544,25092,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:36:39.435Z,2744,6946,24430,3606,8622,27575,4242,5822,22779,3946,6545,25075,Day_2,Fair,Fast,2.5mm,Experiment_2
2025-10-23T00:36:39.475Z,2749,6958,24452,3608,8629,27584,4245,5823,22716,3941,6532,24978,Day_2,Fair,Fast,2.5mm,Experiment_2
