time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:43:55.228Z,2423,6266,22883,3540,8487,28022,5394,8087,34214,4332,7722,31062,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.268Z,2424,6267,22888,3543,8485,28026,5386,8092,34224,4332,7728,31066,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.308Z,2425,6270,22906,3550,8480,28041,5374,8108,34243,4330,7737,31071,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.348Z,2431,6272,22919,3559,8477,28051,5362,8121,34252,4325,7742,31072,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.388Z,2442,6273,22913,3570,8477,28045,5358,8126,34240,4321,7745,31067,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.428Z,2450,6270,22902,3576,8478,28030,5365,8130,34222,4320,7750,31062,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.468Z,2450,6262,22903,3573,8474,28024,5373,8135,34214,4321,7756,31058,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.508Z,2442,6249,22911,3563,8464,28026,5377,8131,34217,4325,7753,31056,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.548Z,2437,6239,22912,3559,8453,28027,5379,8115,34223,4329,7741,31056,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.588Z,2439,6240,22905,3561,8451,28027,5382,8100,34226,4332,7729,31058,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.628Z,2437,6250,22901,3560,8460,28030,5384,8083,34228,4335,7718,31062,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.668Z,2430,6260,22903,3553,8472,28037,5384,8064,34223,4335,7706,31061,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.708Z,2427,6268,22910,3551,8482,28042,5382,8059,34203,4332,7702,31049,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.748Z,2431,6274,22921,3555,8488,28048,5378,8073,34183,4326,7711,31036,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.788Z,2435,6280,22932,3558,8492,28057,5370,8095,34178,4317,7728,31036,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.828Z,2433,6278,22937,3554,8488,28067,5366,8114,34185,4311,7742,31045,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.868Z,2430,6266,22934,3553,8477,28072,5373,8128,34192,4314,7751,31049,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.908Z,2434,6252,22927,3558,8465,28070,5381,8134,34190,4320,7755,31041,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.948Z,2443,6246,22919,3564,8461,28062,5384,8130,34190,4323,7753,31030,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:55.988Z,2452,6248,22906,3567,8464,28047,5390,8124,34196,4326,7749,31026,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.028Z,2454,6250,22892,3566,8468,28031,5394,8126,34197,4329,7748,31027,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.068Z,2447,6246,22887,3560,8468,28021,5394,8132,34193,4329,7746,31032,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.108Z,2442,6240,22889,3558,8462,28019,5391,8134,34197,4326,7742,31042,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.148Z,2446,6239,22892,3565,8458,28022,5383,8125,34209,4321,7733,31054,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.188Z,2453,6246,22896,3573,8460,28028,5371,8104,34218,4316,7721,31060,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.228Z,2452,6258,22903,3574,8469,28038,5371,8081,34220,4320,7710,31059,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.268Z,2447,6268,22904,3569,8477,28042,5380,8069,34220,4329,7707,31056,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.308Z,2444,6274,22900,3566,8482,28038,5384,8074,34224,4337,7713,31056,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.348Z,2444,6274,22899,3564,8484,28034,5381,8092,34235,4339,7726,31060,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.388Z,2440,6267,22897,3559,8484,28028,5378,8109,34252,4335,7739,31061,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.428Z,2429,6260,22886,3551,8483,28017,5379,8115,34266,4331,7747,31056,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.468Z,2420,6259,22874,3547,8484,28009,5377,8117,34268,4325,7749,31052,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.508Z,2420,6266,22875,3549,8490,28013,5364,8119,34260,4316,7747,31055,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.548Z,2423,6274,22883,3552,8496,28022,5345,8117,34249,4308,7743,31061,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.588Z,2423,6280,22888,3551,8499,28026,5334,8115,34245,4306,7741,31066,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.628Z,2422,6280,22885,3549,8498,28023,5340,8116,34250,4307,7742,31073,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.668Z,2421,6274,22882,3547,8494,28020,5349,8117,34260,4306,7742,31078,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.708Z,2422,6268,22882,3549,8489,28021,5345,8112,34266,4301,7740,31080,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.748Z,2425,6269,22879,3553,8490,28018,5335,8107,34267,4297,7738,31081,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.788Z,2429,6275,22876,3557,8496,28017,5336,8104,34266,4300,7739,31083,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.828Z,2435,6278,22880,3560,8499,28022,5351,8102,34267,4310,7741,31081,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.868Z,2444,6276,22887,3563,8496,28029,5375,8094,34262,4323,7737,31073,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.908Z,2450,6274,22893,3566,8492,28030,5397,8085,34246,4336,7727,31060,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.948Z,2451,6275,22899,3566,8490,28029,5404,8081,34218,4340,7719,31049,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:56.988Z,2450,6275,22904,3564,8489,28028,5396,8080,34196,4337,7714,31046,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.028Z,2448,6276,22905,3560,8488,28027,5388,8078,34198,4331,7712,31055,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.069Z,2442,6280,22904,3557,8491,28030,5395,8078,34223,4330,7713,31071,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.109Z,2436,6279,22904,3558,8493,28038,5414,8081,34248,4335,7720,31079,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.149Z,2439,6273,22901,3565,8490,28044,5425,8092,34251,4340,7730,31076,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.189Z,2447,6266,22895,3574,8483,28043,5420,8104,34237,4342,7739,31066,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.229Z,2454,6263,22896,3578,8477,28038,5410,8107,34222,4343,7742,31058,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.269Z,2454,6265,22906,3578,8475,28034,5402,8103,34219,4343,7744,31057,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.309Z,2450,6266,22917,3576,8475,28034,5395,8106,34222,4340,7746,31060,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.349Z,2447,6261,22922,3571,8473,28033,5393,8116,34217,4336,7748,31059,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.389Z,2441,6253,22917,3564,8468,28028,5392,8123,34210,4333,7749,31055,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.429Z,2433,6246,22907,3555,8462,28021,5383,8116,34212,4326,7746,31054,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.469Z,2427,6243,22905,3547,8458,28023,5381,8102,34219,4320,7740,31056,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.509Z,2425,6243,22914,3544,8458,28037,5396,8094,34228,4322,7738,31060,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.549Z,2424,6245,22926,3542,8462,28055,5411,8100,34240,4331,7744,31064,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.589Z,2426,6245,22926,3541,8466,28060,5415,8109,34250,4338,7750,31062,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.629Z,2429,6242,22914,3542,8467,28050,5409,8110,34245,4339,7748,31056,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.669Z,2427,6239,22904,3544,8467,28042,5401,8111,34236,4335,7743,31053,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.709Z,2423,6238,22903,3545,8467,28041,5398,8112,34229,4332,7741,31054,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.749Z,2422,6234,22902,3547,8463,28041,5397,8110,34212,4331,7741,31051,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.789Z,2427,6229,22897,3552,8456,28035,5392,8105,34190,4332,7740,31041,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.829Z,2433,6229,22891,3557,8453,28026,5388,8100,34182,4335,7738,31038,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.869Z,2435,6236,22887,3559,8456,28020,5388,8094,34197,4336,7732,31044,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.909Z,2435,6245,22885,3559,8463,28017,5392,8089,34215,4336,7726,31053,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.949Z,2437,6252,22886,3562,8471,28017,5398,8096,34221,4336,7726,31058,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:57.989Z,2442,6260,22891,3569,8480,28020,5406,8113,34216,4337,7736,31059,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.029Z,2447,6270,22901,3576,8489,28028,5416,8122,34214,4337,7746,31064,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.069Z,2448,6278,22909,3577,8496,28039,5421,8115,34220,4337,7748,31070,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.109Z,2441,6279,22917,3569,8497,28046,5411,8103,34228,4333,7741,31070,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.149Z,2432,6272,22925,3559,8492,28050,5394,8091,34231,4326,7728,31066,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.189Z,2430,6264,22926,3557,8485,28048,5383,8079,34228,4320,7718,31064,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.229Z,2436,6259,22914,3561,8480,28040,5379,8077,34222,4317,7717,31063,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.269Z,2445,6255,22900,3565,8475,28033,5378,8090,34225,4319,7725,31063,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.309Z,2450,6249,22893,3566,8467,28033,5380,8105,34234,4322,7732,31062,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.349Z,2449,6244,22895,3564,8460,28038,5387,8114,34229,4327,7736,31057,Day_2,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.389Z,2453,6245,22900,3569,8460,28041,5389,8114,34207,4331,7737,31050,Day_2,Fair,Fast,5mm,Experiment_2
