time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T00:33:19.885Z,2737,6927,24402,3603,8601,27559,4214,5846,22820,3932,6558,25101,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:19.925Z,2739,6927,24401,3607,8604,27563,4224,5845,22833,3934,6563,25127,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:19.965Z,2745,6938,24407,3613,8614,27566,4232,5841,22811,3934,6559,25099,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.005Z,2750,6948,24422,3615,8622,27565,4226,5825,22742,3926,6534,24988,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.045Z,2750,6948,24450,3611,8622,27567,4209,5795,22613,3903,6482,24783,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.085Z,2746,6943,24477,3603,8618,27571,4192,5768,22475,3875,6427,24574,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.125Z,2740,6939,24485,3596,8615,27573,4179,5758,22412,3858,6400,24485,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.165Z,2736,6940,24473,3594,8615,27573,4171,5763,22447,3858,6407,24539,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.205Z,2738,6940,24457,3596,8616,27572,4170,5777,22541,3871,6436,24672,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.245Z,2744,6937,24448,3603,8611,27572,4179,5795,22633,3889,6469,24798,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.285Z,2750,6932,24450,3609,8606,27579,4192,5810,22678,3901,6491,24861,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.325Z,2754,6930,24453,3613,8605,27587,4199,5825,22682,3905,6503,24879,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.365Z,2756,6929,24446,3613,8604,27589,4202,5840,22693,3907,6514,24913,Day_2,Fair,Intermediate,2.5mm,Experiment_2
2025-10-23T00:33:20.405Z,2756,6925,24434,3613,8598,27585,4205,5848,22731,3915,6531,24985,Day_2,Fair,Intermediate,2.5mm,Experiment_2
