time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T01:33:11.179Z,1698,4682,17769,2547,6718,22002,4430,6242,24385,3506,6209,24272,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.219Z,1704,4699,17782,2551,6735,21996,4435,6236,24445,3500,6186,24209,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.259Z,1703,4717,17818,2548,6748,21988,4463,6251,24593,3497,6143,24063,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.299Z,1699,4721,17865,2544,6742,21969,4487,6291,24808,3490,6091,23852,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.339Z,1693,4713,17887,2542,6726,21943,4484,6339,25001,3480,6058,23706,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.379Z,1689,4705,17870,2543,6718,21929,4453,6369,25080,3470,6065,23724,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.419Z,1683,4707,17834,2542,6724,21936,4409,6370,25027,3462,6099,23852,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.459Z,1674,4714,17796,2534,6735,21951,4379,6354,24892,3461,6137,23989,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.499Z,1667,4718,17765,2525,6743,21964,4375,6343,24736,3470,6172,24090,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.539Z,1665,4717,17745,2520,6745,21974,4389,6343,24601,3483,6201,24152,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.579Z,1665,4707,17739,2518,6738,21980,4399,6336,24516,3489,6214,24175,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.619Z,1667,4694,17748,2519,6726,21985,4395,6325,24496,3487,6211,24164,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.659Z,1673,4687,17764,2527,6720,21989,4392,6320,24526,3483,6201,24135,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.699Z,1684,4687,17773,2538,6723,21989,4396,6320,24559,3485,6196,24119,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.739Z,1694,4699,17770,2545,6736,21988,4407,6311,24549,3496,6198,24146,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.779Z,1695,4718,17760,2543,6751,21990,4414,6296,24497,3512,6205,24206,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.819Z,1691,4725,17747,2536,6755,21990,4418,6288,24437,3520,6211,24259,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.859Z,1687,4713,17733,2533,6743,21984,4414,6295,24397,3518,6217,24284,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.899Z,1687,4698,17727,2535,6728,21978,4394,6306,24374,3506,6221,24287,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.939Z,1690,4695,17732,2541,6722,21978,4374,6303,24359,3494,6219,24282,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:11.979Z,1690,4704,17741,2543,6728,21981,4374,6281,24357,3495,6211,24276,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.019Z,1689,4710,17751,2543,6735,21981,4387,6257,24388,3502,6198,24256,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.059Z,1692,4712,17774,2547,6737,21978,4402,6263,24480,3502,6178,24185,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.099Z,1699,4718,17820,2553,6739,21970,4428,6303,24653,3491,6143,24023,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.139Z,1703,4728,17867,2555,6743,21952,4455,6349,24860,3472,6087,23798,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.179Z,1703,4733,17880,2553,6744,21930,4455,6370,24996,3454,6033,23648,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.219Z,1702,4723,17856,2549,6739,21926,4433,6366,25005,3450,6009,23677,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.259Z,1697,4705,17820,2545,6731,21945,4419,6352,24915,3463,6032,23827,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.299Z,1690,4692,17794,2543,6725,21973,4425,6335,24785,3483,6091,23983,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.339Z,1688,4686,17781,2545,6721,21994,4426,6317,24667,3495,6150,24101,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.379Z,1694,4682,17775,2552,6717,22006,4411,6306,24587,3496,6182,24175,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.419Z,1698,4677,17772,2554,6712,22011,4397,6304,24552,3492,6192,24200,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.459Z,1694,4676,17772,2547,6710,22006,4394,6308,24563,3487,6190,24181,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.499Z,1687,4686,17781,2539,6717,22003,4390,6317,24608,3479,6183,24147,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.539Z,1688,4699,17794,2539,6730,22010,4380,6323,24638,3469,6183,24139,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.579Z,1696,4705,17795,2547,6738,22020,4376,6318,24604,3467,6195,24177,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.619Z,1701,4702,17780,2552,6738,22018,4382,6307,24517,3477,6212,24234,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.659Z,1695,4699,17760,2547,6737,22004,4396,6298,24440,3491,6220,24274,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.699Z,1684,4699,17747,2536,6735,21990,4413,6288,24406,3504,6218,24290,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.739Z,1681,4701,17741,2529,6732,21984,4429,6267,24390,3511,6211,24291,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.779Z,1689,4697,17738,2534,6726,21982,4440,6249,24372,3513,6210,24285,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.819Z,1697,4694,17737,2540,6722,21980,4441,6249,24367,3510,6216,24277,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.859Z,1702,4698,17750,2544,6730,21985,4422,6261,24413,3501,6218,24252,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.899Z,1708,4710,17786,2550,6743,21991,4405,6280,24539,3487,6197,24163,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.939Z,1708,4722,17836,2550,6752,21986,4404,6319,24739,3470,6149,23975,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:12.979Z,1697,4726,17882,2538,6749,21967,4409,6379,24951,3450,6097,23747,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:13.019Z,1689,4720,17900,2528,6740,21952,4404,6432,25082,3436,6072,23624,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:13.059Z,1692,4712,17886,2531,6734,21953,4398,6452,25081,3439,6089,23673,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:13.099Z,1698,4707,17851,2540,6733,21964,4402,6444,24963,3457,6130,23816,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:13.139Z,1699,4707,17806,2545,6736,21967,4411,6422,24796,3479,6170,23967,Day_2,Fair,Slow,3.75mm,Experiment_2
2025-10-23T01:33:13.179Z,1698,4705,17765,2546,6736,21960,4410,6393,24659,3490,6196,24093,Day_2,Fair,Slow,3.75mm,Experiment_2
