time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:36:42.815Z,2509,6318,23214,3502,8297,27433,5258,8018,33783,4184,7522,30174,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:42.855Z,2516,6325,23213,3508,8307,27439,5254,8014,33809,4183,7520,30176,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:42.895Z,2516,6335,23219,3509,8316,27449,5240,8008,33822,4180,7519,30174,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:42.935Z,2512,6339,23221,3505,8318,27453,5242,8006,33809,4182,7520,30166,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:42.975Z,2506,6335,23217,3499,8311,27449,5256,8010,33781,4186,7527,30157,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.015Z,2500,6333,23209,3493,8307,27441,5260,8008,33761,4183,7530,30151,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.055Z,2498,6338,23207,3491,8312,27436,5258,7990,33755,4177,7523,30154,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.095Z,2504,6343,23215,3497,8318,27440,5265,7969,33758,4180,7510,30164,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.415Z,2484,6343,23242,3481,8316,27467,5242,8037,33795,4169,7532,30180,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.455Z,2488,6345,23247,3483,8318,27467,5267,8046,33790,4178,7536,30183,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.495Z,2493,6347,23250,3485,8321,27465,5275,8044,33777,4185,7538,30185,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.535Z,2499,6348,23248,3489,8322,27463,5280,8027,33758,4189,7532,30183,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.575Z,2504,6347,23244,3496,8321,27465,5283,8007,33735,4187,7524,30174,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.615Z,2508,6341,23241,3505,8316,27470,5279,7998,33719,4182,7520,30162,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.655Z,2506,6332,23237,3508,8310,27472,5278,8004,33730,4181,7523,30158,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.695Z,2496,6328,23232,3502,8310,27468,5271,8012,33767,4181,7526,30169,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.135Z,2510,6338,23231,3501,8317,27450,5275,7964,33757,4186,7508,30170,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.175Z,2505,6333,23242,3496,8313,27457,5272,7978,33743,4186,7515,30166,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.215Z,2496,6340,23244,3488,8319,27459,5252,7991,33737,4179,7523,30163,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.255Z,2491,6355,23244,3486,8331,27461,5228,8000,33759,4171,7527,30172,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.295Z,2489,6362,23245,3487,8337,27465,5211,8012,33791,4166,7530,30187,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.335Z,2486,6357,23242,3487,8332,27466,5204,8024,33800,4163,7531,30189,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.375Z,2484,6347,23239,3483,8322,27465,5213,8029,33796,4163,7530,30183,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.735Z,2487,6333,23228,3491,8316,27460,5244,8008,33798,4174,7525,30185,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.775Z,2483,6342,23226,3485,8323,27453,5218,8003,33803,4167,7523,30194,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.815Z,2487,6351,23226,3486,8330,27450,5209,8006,33799,4165,7524,30193,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.855Z,2497,6357,23231,3494,8334,27452,5216,8021,33796,4169,7527,30186,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.895Z,2509,6357,23240,3506,8334,27458,5224,8032,33782,4172,7528,30173,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.935Z,2516,6355,23244,3514,8331,27465,5222,8024,33771,4169,7525,30163,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:43.975Z,2509,6355,23242,3510,8327,27470,5219,8005,33783,4167,7522,30165,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.015Z,2493,6357,23240,3497,8326,27475,5230,7999,33802,4172,7523,30175,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.055Z,2483,6360,23245,3489,8329,27485,5247,8009,33812,4181,7529,30189,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.095Z,2489,6362,23253,3493,8331,27492,5257,8016,33817,4187,7533,30203,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.135Z,2507,6358,23257,3505,8330,27492,5249,8007,33815,4187,7531,30207,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.175Z,2522,6349,23254,3514,8325,27481,5228,8000,33803,4183,7530,30199,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.215Z,2522,6344,23248,3512,8321,27468,5216,8009,33790,4181,7528,30191,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.255Z,2511,6345,23244,3502,8321,27460,5231,8022,33781,4186,7525,30185,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.295Z,2499,6350,23242,3492,8326,27460,5257,8027,33776,4192,7522,30180,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.335Z,2490,6356,23239,3485,8333,27464,5265,8025,33778,4193,7523,30177,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.376Z,2487,6359,23236,3482,8337,27467,5252,8023,33782,4187,7529,30178,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.416Z,2488,6356,23230,3481,8335,27464,5239,8026,33774,4180,7535,30177,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.456Z,2491,6352,23224,3483,8331,27454,5235,8030,33757,4176,7538,30177,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.496Z,2492,6355,23223,3486,8331,27447,5239,8027,33747,4176,7536,30181,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.536Z,2487,6356,23226,3486,8329,27445,5249,8015,33748,4177,7530,30186,Day_2,Fair,Slow,5mm,Experiment_2
2025-10-23T02:36:44.576Z,2480,6354,23227,3482,8325,27445,5253,8002,33758,4176,7524,30191,Day_2,Fair,Slow,5mm,Experiment_2
