time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T01:04:28.378Z,279,1480,5499,604,1897,6663,3382,3387,13948,2622,3058,13461,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.418Z,283,1473,5495,608,1902,6669,3392,3385,13933,2629,3059,13475,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.458Z,284,1458,5445,617,1912,6699,3375,3358,13818,2623,3062,13496,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.498Z,279,1437,5358,626,1922,6752,3346,3313,13607,2610,3067,13512,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.538Z,270,1418,5294,626,1927,6789,3327,3272,13438,2592,3063,13497,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.578Z,267,1413,5312,619,1921,6778,3319,3266,13462,2576,3048,13454,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.618Z,269,1419,5375,612,1909,6738,3314,3290,13609,2569,3038,13425,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.658Z,271,1419,5411,609,1905,6715,3310,3313,13696,2573,3045,13435,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.698Z,270,1419,5413,608,1912,6717,3310,3328,13690,2579,3061,13464,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.738Z,268,1431,5423,605,1912,6715,3314,3343,13706,2581,3071,13478,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.778Z,269,1454,5458,601,1902,6694,3317,3356,13802,2578,3066,13471,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.818Z,278,1507,5491,604,1895,6671,3310,3359,13908,2573,3054,13464,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.858Z,288,1661,5495,611,1902,6664,3301,3354,13947,2571,3046,13470,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.898Z,286,1936,5459,617,1927,6687,3298,3342,13876,2575,3053,13488,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.938Z,277,2144,5387,621,1962,6741,3298,3314,13693,2579,3067,13506,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:28.978Z,269,2118,5322,622,1982,6789,3297,3285,13512,2578,3071,13498,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.018Z,265,1947,5315,619,1972,6790,3304,3284,13473,2574,3062,13458,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.058Z,265,1750,5354,614,1937,6753,3317,3308,13560,2574,3055,13423,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.098Z,267,1599,5395,612,1907,6720,3323,3327,13655,2579,3055,13424,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.138Z,267,1546,5413,611,1904,6704,3316,3330,13702,2581,3059,13446,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.178Z,266,1551,5430,609,1912,6691,3316,3330,13758,2578,3059,13455,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.218Z,270,1547,5468,606,1907,6672,3339,3344,13862,2579,3055,13447,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.258Z,278,1524,5507,607,1889,6663,3372,3361,13948,2590,3052,13445,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.298Z,286,1501,5516,613,1876,6667,3387,3365,13951,2601,3053,13460,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.338Z,287,1470,5478,620,1879,6687,3385,3346,13858,2607,3054,13487,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.378Z,278,1426,5398,622,1896,6724,3370,3312,13679,2606,3060,13509,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.418Z,271,1399,5323,624,1915,6757,3342,3288,13512,2595,3067,13495,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.458Z,278,1409,5308,630,1921,6758,3317,3292,13480,2579,3065,13445,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.498Z,290,1430,5350,632,1915,6736,3305,3316,13567,2569,3059,13405,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.538Z,291,1419,5404,623,1907,6714,3303,3343,13676,2566,3056,13400,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.578Z,289,1319,5439,611,1901,6695,3312,3361,13761,2570,3058,13414,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.618Z,294,1119,5462,609,1898,6677,3330,3376,13838,2580,3059,13423,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.658Z,302,960,5489,612,1896,6660,3348,3397,13920,2591,3059,13428,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.698Z,301,983,5508,612,1899,6651,3359,3414,13972,2599,3061,13441,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.738Z,290,1136,5505,607,1907,6656,3358,3403,13959,2600,3060,13465,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.778Z,281,1309,5468,608,1919,6683,3345,3359,13859,2596,3061,13493,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.818Z,276,1426,5399,615,1932,6734,3325,3309,13672,2593,3071,13513,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.858Z,273,1463,5337,624,1942,6782,3308,3280,13490,2588,3080,13496,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.898Z,273,1466,5331,628,1941,6790,3304,3284,13438,2583,3074,13437,Day_2,Medium,Fast,2.5mm,Experiment_2
2025-10-23T01:04:29.938Z,278,1470,5379,624,1928,6761,3314,3311,13533,2582,3059,13383,Day_2,Medium,Fast,2.5mm,Experiment_2
