time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:56:25.531Z,166,1145,4198,510,1581,6017,3127,2913,11523,1974,2090,10796,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.571Z,173,1139,4196,516,1580,6012,3121,2905,11526,1970,2157,10794,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.611Z,178,1135,4190,517,1578,6003,3114,2892,11537,1964,2210,10797,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.651Z,181,1133,4186,514,1578,5994,3114,2878,11551,1961,2205,10802,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.691Z,181,1135,4188,509,1582,5995,3114,2867,11561,1958,2149,10809,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.731Z,182,1141,4193,510,1587,6002,3104,2868,11567,1952,2099,10818,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.771Z,182,1152,4195,515,1591,6012,3088,2876,11570,1946,2082,10824,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.811Z,181,1162,4193,517,1596,6022,3079,2886,11563,1942,2081,10825,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.851Z,179,1164,4194,515,1599,6032,3085,2895,11540,1946,2082,10818,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.891Z,180,1160,4196,515,1597,6037,3104,2899,11515,1958,2082,10809,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.931Z,180,1157,4197,514,1594,6034,3122,2893,11510,1969,2083,10803,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:25.971Z,176,1154,4198,509,1592,6024,3126,2883,11519,1969,2082,10802,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.011Z,167,1154,4199,497,1594,6014,3113,2880,11530,1959,2081,10803,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.051Z,159,1157,4198,488,1599,6006,3098,2887,11540,1944,2083,10808,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.091Z,157,1161,4198,486,1602,6002,3095,2893,11553,1937,2084,10816,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.131Z,159,1163,4200,489,1601,6000,3099,2891,11564,1940,2078,10818,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.171Z,162,1160,4199,493,1598,5999,3098,2886,11561,1945,2067,10812,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.211Z,160,1155,4195,493,1596,5999,3093,2885,11551,1947,2059,10807,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.251Z,158,1151,4189,495,1597,6001,3092,2885,11540,1948,2061,10805,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.291Z,162,1148,4181,503,1597,6006,3095,2876,11520,1951,2064,10801,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.331Z,167,1148,4178,509,1595,6013,3101,2862,11498,1954,2064,10795,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.371Z,162,1155,4184,502,1594,6019,3114,2860,11492,1960,2068,10792,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.411Z,149,1163,4197,487,1598,6025,3131,2868,11504,1966,2073,10794,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.451Z,143,1167,4207,483,1600,6029,3144,2871,11518,1971,2073,10796,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.491Z,148,1163,4207,491,1596,6030,3140,2870,11529,1972,2073,10796,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.531Z,156,1156,4197,501,1588,6025,3122,2876,11544,1968,2079,10798,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.571Z,162,1152,4187,508,1581,6017,3108,2890,11565,1962,2086,10802,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.611Z,167,1150,4182,512,1578,6012,3109,2906,11574,1962,2092,10805,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.651Z,168,1146,4179,509,1575,6011,3119,2907,11559,1966,2090,10803,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.691Z,165,1142,4177,503,1575,6011,3127,2889,11528,1969,2081,10799,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.731Z,163,1142,4176,502,1582,6018,3124,2870,11503,1966,2074,10797,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.771Z,162,1144,4182,502,1589,6029,3106,2864,11492,1955,2071,10801,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.811Z,160,1144,4191,500,1589,6033,3091,2869,11495,1946,2072,10806,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.851Z,158,1142,4194,497,1588,6027,3092,2877,11501,1947,2078,10806,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.891Z,161,1140,4191,499,1587,6016,3101,2886,11506,1953,2087,10803,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.931Z,168,1140,4189,504,1587,6010,3109,2893,11515,1959,2092,10801,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:26.971Z,173,1143,4194,506,1588,6012,3114,2898,11527,1964,2092,10804,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.011Z,176,1150,4202,507,1591,6016,3120,2898,11540,1969,2090,10810,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.051Z,177,1153,4212,510,1593,6021,3132,2892,11548,1973,2088,10814,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.091Z,178,1148,4218,513,1591,6025,3146,2883,11543,1975,2083,10811,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.131Z,177,1137,4213,513,1582,6028,3152,2883,11528,1971,2080,10804,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.171Z,168,1129,4201,506,1574,6028,3141,2889,11514,1963,2081,10796,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.211Z,158,1134,4193,499,1576,6029,3126,2892,11513,1960,2080,10793,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.251Z,153,1145,4189,495,1583,6025,3121,2894,11525,1965,2081,10793,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.291Z,153,1150,4185,491,1587,6016,3119,2902,11543,1970,2085,10796,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.331Z,152,1149,4179,488,1586,6005,3113,2909,11563,1968,2088,10806,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.371Z,152,1149,4179,489,1585,6003,3102,2909,11575,1962,2089,10817,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.411Z,150,1149,4185,490,1583,6007,3092,2906,11564,1956,2090,10818,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.451Z,145,1148,4191,487,1582,6012,3084,2903,11537,1952,2089,10809,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.491Z,142,1150,4191,487,1586,6013,3079,2899,11522,1950,2085,10803,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.531Z,146,1160,4185,493,1597,6011,3079,2893,11520,1947,2080,10803,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.571Z,154,1171,4182,504,1606,6011,3077,2887,11517,1942,2077,10802,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.611Z,159,1175,4183,512,1607,6015,3073,2882,11512,1939,2077,10801,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.651Z,161,1170,4187,513,1600,6021,3076,2876,11508,1942,2074,10801,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.691Z,160,1159,4190,509,1589,6022,3091,2874,11509,1952,2071,10804,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.731Z,157,1150,4193,505,1584,6017,3109,2881,11516,1964,2074,10808,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.771Z,154,1151,4196,501,1588,6013,3116,2896,11527,1969,2080,10808,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.811Z,154,1157,4196,499,1593,6012,3112,2913,11546,1966,2087,10803,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.851Z,157,1159,4193,499,1593,6012,3106,2923,11584,1959,2090,10801,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.891Z,159,1156,4192,497,1590,6012,3100,2918,11615,1952,2088,10804,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.931Z,158,1151,4194,495,1586,6010,3093,2909,11612,1945,2082,10812,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:27.971Z,160,1143,4193,497,1581,6008,3089,2901,11592,1942,2077,10818,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.011Z,166,1138,4191,500,1576,6007,3098,2895,11578,1949,2073,10820,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.051Z,172,1138,4190,504,1574,6011,3116,2896,11565,1963,2073,10818,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.091Z,176,1142,4191,509,1575,6019,3134,2904,11545,1974,2079,10813,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.131Z,177,1147,4190,513,1580,6026,3146,2906,11518,1977,2080,10806,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.171Z,175,1153,4190,515,1589,6028,3147,2894,11498,1970,2071,10798,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.211Z,176,1159,4191,518,1596,6026,3137,2875,11494,1960,2056,10793,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.251Z,181,1162,4193,520,1597,6020,3129,2865,11505,1956,2049,10790,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.291Z,183,1162,4196,523,1594,6016,3126,2865,11516,1959,2055,10790,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.331Z,182,1162,4198,525,1593,6017,3128,2862,11522,1962,2065,10793,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.371Z,181,1159,4195,526,1593,6017,3135,2856,11524,1963,2068,10796,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.411Z,178,1153,4188,521,1589,6011,3143,2855,11525,1965,2067,10799,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.451Z,172,1150,4186,512,1588,6007,3147,2862,11530,1970,2068,10802,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.491Z,165,1155,4190,506,1593,6010,3140,2870,11529,1975,2070,10805,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.531Z,164,1162,4195,506,1600,6020,3120,2878,11515,1973,2075,10808,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.572Z,167,1163,4195,507,1605,6027,3096,2885,11503,1965,2079,10810,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.612Z,167,1159,4192,505,1603,6028,3081,2882,11503,1955,2081,10812,Day_2,Medium,Fast,5mm,Experiment_2
2025-10-23T02:56:28.652Z,161,1153,4187,502,1598,6021,3083,2874,11513,1953,2079,10811,Day_2,Medium,Fast,5mm,Experiment_2
