time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:09:45.508Z,112,1114,3088,426,1454,3894,3492,3336,13902,2242,2386,8708,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.548Z,115,1114,3080,430,1464,3887,3517,3347,13916,2246,2392,8717,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.588Z,119,1118,3077,434,1472,3883,3528,3344,13931,2248,2395,8720,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.628Z,120,1124,3079,435,1471,3883,3516,3334,13938,2245,2400,8719,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.668Z,119,1127,3078,435,1463,3881,3499,3330,13933,2239,2406,8714,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.708Z,120,1122,3075,436,1451,3877,3490,3326,13927,2235,2405,8710,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.748Z,122,1114,3075,435,1441,3876,3478,3318,13928,2230,2397,8712,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.788Z,121,1108,3079,431,1437,3877,3461,3307,13936,2224,2388,8716,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.828Z,113,1112,3079,421,1442,3878,3451,3301,13955,2218,2382,8723,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.868Z,98,1123,3077,409,1455,3879,3455,3303,13989,2218,2382,8733,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.908Z,89,1131,3082,403,1465,3886,3472,3309,14024,2223,2385,8741,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.948Z,92,1127,3092,406,1463,3899,3492,3307,14021,2230,2387,8736,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:45.988Z,103,1116,3095,415,1452,3906,3498,3300,13966,2234,2387,8719,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.028Z,115,1110,3089,426,1443,3904,3492,3300,13911,2237,2388,8708,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.068Z,122,1107,3081,436,1439,3896,3485,3309,13899,2239,2390,8711,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.108Z,121,1105,3073,439,1437,3888,3483,3316,13918,2239,2390,8718,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.148Z,115,1108,3066,436,1439,3880,3485,3317,13938,2238,2389,8721,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.188Z,111,1116,3063,431,1446,3875,3487,3318,13950,2237,2391,8722,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.228Z,109,1123,3069,428,1454,3877,3487,3313,13957,2235,2390,8725,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.268Z,111,1124,3080,426,1457,3886,3492,3296,13955,2235,2381,8725,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.308Z,110,1120,3089,424,1456,3894,3496,3283,13942,2233,2372,8721,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.348Z,103,1114,3087,419,1450,3893,3491,3290,13931,2228,2373,8718,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.388Z,94,1109,3078,412,1445,3884,3481,3311,13936,2223,2383,8721,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.428Z,90,1109,3068,409,1443,3874,3467,3328,13945,2218,2392,8726,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.468Z,94,1114,3061,410,1445,3868,3455,3328,13946,2214,2392,8726,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.508Z,101,1122,3061,414,1451,3869,3451,3308,13947,2215,2383,8723,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.548Z,103,1133,3067,416,1458,3878,3456,3288,13947,2218,2375,8723,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.588Z,102,1136,3075,416,1462,3886,3470,3287,13934,2221,2376,8719,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.629Z,99,1131,3077,414,1460,3886,3494,3295,13917,2227,2381,8717,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.669Z,98,1125,3077,416,1458,3883,3516,3290,13920,2234,2382,8721,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.709Z,100,1126,3078,421,1459,3882,3516,3273,13937,2237,2378,8728,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.749Z,104,1131,3076,426,1464,3881,3497,3264,13943,2232,2373,8729,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.789Z,107,1135,3073,426,1466,3881,3486,3266,13933,2231,2370,8724,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.829Z,104,1132,3073,423,1461,3885,3499,3271,13923,2240,2368,8721,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.869Z,103,1126,3076,423,1455,3890,3515,3277,13918,2248,2367,8719,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.909Z,111,1125,3079,428,1454,3892,3510,3293,13921,2245,2373,8718,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.949Z,122,1126,3078,438,1454,3891,3494,3311,13932,2231,2378,8720,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:46.987Z,127,1120,3074,443,1448,3888,3494,3315,13947,2218,2377,8726,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.027Z,119,1113,3071,439,1441,3885,3504,3313,13952,2216,2375,8730,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.067Z,106,1112,3074,430,1440,3888,3505,3316,13946,2221,2378,8725,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.107Z,96,1118,3079,418,1445,3892,3496,3322,13933,2228,2381,8711,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.147Z,89,1124,3081,409,1450,3894,3484,3324,13913,2233,2383,8694,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.187Z,89,1127,3076,406,1452,3891,3479,3324,13894,2236,2386,8685,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.227Z,94,1126,3069,411,1452,3885,3490,3330,13886,2239,2397,8687,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.267Z,102,1125,3065,417,1454,3882,3509,3343,13893,2244,2410,8697,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.307Z,107,1128,3069,421,1460,3884,3522,3349,13918,2246,2411,8710,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.347Z,110,1131,3076,424,1465,3889,3522,3340,13944,2246,2400,8719,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.387Z,113,1128,3082,429,1463,3893,3513,3317,13954,2243,2386,8720,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.427Z,116,1120,3081,432,1455,3894,3491,3289,13945,2237,2376,8717,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.467Z,113,1115,3075,429,1450,3890,3474,3275,13927,2234,2370,8714,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.507Z,110,1114,3066,427,1451,3884,3482,3282,13913,2240,2370,8710,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.547Z,112,1116,3060,430,1451,3879,3511,3301,13911,2248,2375,8709,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.587Z,117,1118,3059,433,1450,3876,3529,3318,13921,2248,2385,8713,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.627Z,118,1122,3065,434,1451,3876,3521,3332,13931,2243,2395,8718,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.667Z,116,1124,3072,433,1453,3877,3495,3338,13936,2237,2402,8721,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.708Z,111,1124,3074,429,1454,3877,3468,3325,13940,2235,2400,8720,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.748Z,105,1127,3070,424,1455,3875,3454,3298,13945,2238,2390,8718,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.788Z,95,1132,3066,414,1457,3872,3457,3284,13948,2244,2384,8719,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.828Z,88,1137,3066,407,1461,3871,3471,3289,13950,2247,2387,8721,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.868Z,91,1137,3070,408,1462,3873,3481,3296,13955,2242,2386,8725,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.908Z,101,1131,3070,415,1459,3874,3487,3287,13961,2232,2376,8729,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.948Z,107,1127,3067,418,1458,3873,3492,3271,13970,2230,2367,8733,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:47.988Z,107,1127,3066,417,1460,3873,3498,3269,13974,2235,2368,8732,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.028Z,105,1127,3070,416,1458,3879,3501,3295,13968,2236,2384,8726,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.068Z,108,1123,3073,419,1450,3885,3499,3331,13948,2230,2404,8718,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.108Z,113,1121,3074,424,1444,3885,3496,3346,13931,2223,2410,8714,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.148Z,113,1125,3073,425,1447,3883,3497,3332,13935,2223,2397,8716,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.188Z,105,1131,3070,420,1456,3880,3512,3313,13953,2229,2382,8721,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.228Z,99,1133,3066,414,1463,3878,3539,3306,13957,2231,2375,8722,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.268Z,101,1132,3065,414,1465,3881,3560,3301,13937,2222,2374,8716,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.308Z,109,1131,3067,418,1464,3886,3549,3287,13908,2209,2373,8704,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.348Z,111,1129,3069,421,1458,3887,3516,3266,13893,2207,2368,8700,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.388Z,108,1126,3068,422,1454,3883,3499,3252,13897,2220,2363,8708,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.428Z,108,1125,3069,425,1452,3882,3506,3248,13903,2234,2362,8714,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.468Z,111,1123,3075,428,1450,3888,3516,3252,13903,2244,2362,8715,Day_2,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:09:48.508Z,114,1122,3079,429,1451,3894,3519,3262,13902,2248,2364,8711,Day_2,Medium,Intermediate,3.75mm,Experiment_2
