time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:52:10.302Z,177,1151,4182,509,1576,6012,3090,2919,11456,1956,2096,10738,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.342Z,175,1149,4176,508,1578,6010,3096,2914,11446,1961,2090,10735,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.382Z,166,1145,4171,500,1575,5999,3111,2924,11458,1971,2088,10739,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.422Z,157,1143,4172,491,1570,5989,3131,2938,11475,1980,2089,10744,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.462Z,153,1143,4175,490,1567,5982,3152,2942,11477,1985,2091,10744,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.502Z,151,1147,4175,489,1570,5974,3163,2939,11467,1986,2093,10742,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.542Z,147,1151,4172,484,1573,5964,3157,2933,11457,1984,2095,10740,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.582Z,145,1151,4174,476,1571,5960,3148,2925,11448,1985,2095,10736,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.622Z,148,1150,4178,474,1570,5963,3144,2916,11444,1986,2092,10732,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.662Z,154,1150,4179,483,1573,5966,3141,2904,11455,1984,2087,10734,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.702Z,160,1148,4176,496,1575,5965,3138,2890,11473,1978,2080,10742,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.742Z,161,1145,4171,500,1577,5965,3136,2881,11482,1975,2074,10747,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.782Z,160,1146,4167,497,1580,5971,3130,2879,11477,1973,2072,10746,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.822Z,162,1146,4165,495,1580,5985,3129,2881,11465,1976,2072,10743,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.862Z,166,1143,4162,494,1578,5997,3141,2890,11455,1981,2075,10741,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.902Z,165,1143,4160,491,1576,6000,3153,2897,11453,1981,2076,10744,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.942Z,158,1149,4162,485,1576,5992,3148,2897,11455,1972,2073,10748,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:10.982Z,152,1158,4170,477,1581,5983,3127,2889,11459,1960,2070,10753,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.022Z,154,1162,4176,476,1585,5978,3106,2882,11466,1953,2072,10759,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.062Z,159,1161,4178,480,1584,5978,3101,2886,11478,1955,2080,10764,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.102Z,161,1164,4176,485,1583,5978,3114,2897,11489,1963,2090,10765,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.142Z,161,1170,4175,487,1583,5977,3134,2904,11487,1973,2093,10762,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.182Z,162,1165,4178,490,1579,5976,3148,2901,11474,1976,2087,10756,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.222Z,167,1152,4185,495,1574,5976,3146,2898,11456,1968,2082,10750,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.262Z,174,1141,4189,498,1572,5976,3129,2901,11446,1954,2085,10748,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.302Z,176,1138,4188,494,1572,5979,3110,2902,11452,1945,2093,10750,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.342Z,175,1137,4188,489,1571,5989,3102,2896,11463,1947,2095,10752,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.382Z,171,1137,4192,486,1570,6002,3104,2898,11464,1957,2096,10753,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.422Z,162,1134,4189,483,1573,6009,3106,2918,11456,1963,2101,10750,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.462Z,148,1134,4181,477,1576,6004,3097,2937,11450,1961,2105,10747,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.502Z,140,1136,4172,474,1577,5990,3083,2935,11449,1956,2102,10746,Day_2,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:11.542Z,139,1137,4166,476,1576,5975,3077,2918,11450,1955,2094,10749,Day_2,Medium,Intermediate,5mm,Experiment_2
