time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:04:36.149Z,102,1123,3031,407,1446,3842,3352,3231,13404,2115,2285,8265,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.189Z,103,1109,3030,407,1434,3839,3343,3231,13404,2107,2287,8262,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.229Z,105,1101,3031,408,1426,3838,3350,3230,13391,2109,2291,8254,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.269Z,108,1099,3037,411,1424,3842,3363,3239,13376,2117,2295,8247,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.309Z,112,1101,3043,416,1423,3848,3363,3250,13371,2119,2295,8246,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.349Z,112,1105,3042,417,1423,3848,3352,3249,13375,2117,2291,8249,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.389Z,108,1114,3034,413,1428,3843,3340,3245,13384,2117,2291,8252,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.429Z,106,1126,3028,412,1439,3838,3332,3251,13394,2116,2297,8253,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.469Z,106,1135,3030,414,1449,3839,3333,3257,13390,2116,2301,8249,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.509Z,102,1136,3033,413,1455,3841,3347,3247,13371,2120,2295,8241,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.549Z,97,1135,3035,409,1458,3842,3369,3223,13355,2128,2282,8237,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.589Z,99,1133,3039,410,1459,3846,3387,3200,13353,2137,2271,8237,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.629Z,103,1130,3043,415,1455,3851,3390,3187,13355,2142,2267,8236,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.669Z,105,1125,3044,417,1450,3853,3376,3180,13357,2141,2264,8235,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.709Z,102,1123,3044,414,1446,3855,3359,3178,13358,2137,2259,8234,Day_2,Medium,Slow,3.75mm,Experiment_2
2025-10-23T02:04:36.749Z,100,1122,3042,411,1444,3853,3355,3182,13369,2132,2252,8236,Day_2,Medium,Slow,3.75mm,Experiment_2
