time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:48:58.821Z,154,1132,4173,468,1553,5963,3074,2902,11334,1929,2057,10528,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:58.861Z,161,1128,4171,479,1553,5960,3088,2887,11336,1934,2053,10521,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:58.901Z,166,1122,4171,488,1552,5954,3097,2885,11334,1940,2059,10518,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:58.941Z,165,1118,4171,488,1555,5947,3097,2896,11329,1944,2068,10521,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:58.981Z,159,1120,4171,485,1559,5940,3094,2908,11324,1944,2074,10524,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.021Z,160,1129,4176,481,1559,5938,3092,2917,11317,1941,2074,10525,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.061Z,162,1141,4179,479,1560,5939,3092,2919,11315,1941,2072,10528,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.101Z,158,1149,4172,475,1562,5937,3102,2908,11321,1947,2067,10533,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.141Z,149,1152,4158,470,1562,5931,3121,2889,11329,1953,2058,10535,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.181Z,142,1151,4155,467,1560,5925,3139,2879,11344,1958,2054,10536,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.221Z,141,1151,4162,466,1558,5921,3149,2888,11365,1965,2058,10539,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.261Z,144,1148,4169,469,1554,5921,3147,2902,11384,1971,2064,10544,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.301Z,153,1137,4172,473,1545,5926,3141,2902,11384,1972,2061,10544,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.341Z,167,1126,4174,478,1537,5932,3134,2884,11360,1971,2050,10537,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.381Z,177,1127,4171,483,1539,5931,3129,2857,11332,1969,2036,10531,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.421Z,180,1136,4161,487,1547,5925,3128,2836,11308,1965,2028,10525,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.461Z,177,1141,4152,490,1551,5919,3126,2833,11295,1958,2028,10519,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.501Z,174,1140,4146,491,1552,5918,3122,2852,11300,1953,2036,10519,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.541Z,169,1139,4145,490,1553,5923,3120,2883,11314,1949,2048,10519,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.581Z,161,1139,4143,483,1555,5929,3112,2906,11321,1944,2056,10519,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.621Z,154,1137,4141,478,1555,5932,3095,2904,11325,1939,2057,10520,Day_2,Medium,Slow,5mm,Experiment_2
2025-10-23T02:48:59.661Z,154,1132,4139,480,1552,5931,3075,2891,11326,1934,2057,10522,Day_2,Medium,Slow,5mm,Experiment_2
