Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Medium_Fast_2.5mm,Unpolarized_A_Green,C5,PI,-181.39751224676908,81.8634878502577,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_A_Red,C2,PI,-206.2630090501844,85.14049560993588,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_A_IR,C4,PI,-185.39037046887913,41.10630977963973,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_B_Green,C11,PI,-236.262997184901,36.034038466821016,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_B_Red,C8,PI,-231.51426490181353,44.25163997761821,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_B_IR,C10,PI,-230.55926306105692,31.670356777446127,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Co-Polarized_Green,C13,PI,-293.68888126456955,1867.6491854551184,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Co-Polarized_Red,C12,PI,-195.4276215394957,149.43328681999802,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Co-Polarized_IR,C15,PI,-356.3984361422221,778.0196354420633,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Cross-Polarized_Green,C19,PI,-204.62021780947217,92.19122460720216,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Cross-Polarized_Red,C18,PI,-211.31193178342264,95.00346514046534,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Cross-Polarized_IR,C21,PI,-227.2072171067231,52.37876217651326,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Unpolarized_A_Green,C5,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Unpolarized_A_Red,C2,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Unpolarized_A_IR,C4,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Unpolarized_B_Red,C8,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Unpolarized_B_IR,C10,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Co-Polarized_Green,C13,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Co-Polarized_Red,C12,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Co-Polarized_IR,C15,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Cross-Polarized_Green,C19,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Cross-Polarized_Red,C18,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Cross-Polarized_IR,C21,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_3.75mm,Unpolarized_A_Green,C5,PI,-239.6868807209837,9.423004346172211,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Unpolarized_A_Red,C2,PI,-240.91665026977384,46.551750690578345,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Unpolarized_A_IR,C4,PI,-240.0591901900811,44.93504545223302,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Unpolarized_B_Green,C11,PI,-291.8452270495998,66.80028784363267,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Unpolarized_B_Red,C8,PI,-224.94817293714596,5.621414579608181,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Unpolarized_B_IR,C10,PI,-217.06674845113432,33.28772628046328,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Co-Polarized_Green,C13,PI,-221.75500766686184,55.120643375528815,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Co-Polarized_Red,C12,PI,-268.0332022842669,215.9402350752715,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Co-Polarized_IR,C15,PI,-205.67591632206012,48.79409190180825,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Cross-Polarized_Green,C19,PI,-207.92042016040384,23.724215689534045,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
Medium_Intermediate_3.75mm,Cross-Polarized_Red,C18,PI,-217.15551518191293,37.312545796943205,Day_2,Medium,Intermediate,3.75mm,Experiment_2,,
