time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,Condition
2025-10-23T20:15:00.852Z,1493,0,1287,1266,174,1456,67519,62784,93979,21219,65027,117356,Day_3,Blackout Offset
2025-10-23T20:15:00.892Z,1016,0,1701,1062,135,1748,61528,62550,90211,19873,65041,115847,Day_3,Blackout Offset
2025-10-23T20:15:00.932Z,1098,0,2185,1183,151,2106,56887,62468,85775,18571,65250,114766,Day_3,Blackout Offset
2025-10-23T20:15:00.972Z,1764,0,2466,1621,158,2260,54613,62659,83512,17246,65656,115596,Day_3,Blackout Offset
2025-10-23T20:15:01.012Z,2123,0,2651,1703,111,2279,54845,62537,84622,16929,66358,117669,Day_3,Blackout Offset
2025-10-23T20:15:01.052Z,1687,11,3388,1266,56,2709,57285,61761,87197,19287,67202,119219,Day_3,Blackout Offset
2025-10-23T20:15:01.092Z,1123,82,4080,888,87,3202,61004,61204,88948,24205,68082,119738,Day_3,Blackout Offset
2025-10-23T20:15:01.132Z,876,340,3571,770,331,3022,64627,61435,89563,29387,68994,119678,Day_3,Blackout Offset
2025-10-23T20:15:01.172Z,807,798,2311,755,833,2518,67185,62062,90494,32902,69939,119809,Day_3,Blackout Offset
2025-10-23T20:15:01.212Z,1190,1061,1169,1208,1278,2184,69527,62534,92730,34754,70690,120337,Day_3,Blackout Offset
2025-10-23T20:15:01.252Z,2661,812,439,2843,1431,2412,72942,62049,95628,35614,70863,121071,Day_3,Blackout Offset
2025-10-23T20:15:01.292Z,6007,528,225,6419,2125,4263,76929,60035,98651,36600,71029,123140,Day_3,Blackout Offset
2025-10-23T20:15:01.332Z,12496,1566,951,12938,4987,8974,80636,58600,102084,39664,72959,128117,Day_3,Blackout Offset
2025-10-23T20:15:01.372Z,23438,7005,4197,22916,10924,16676,84270,62219,105566,45830,78302,136174,Day_3,Blackout Offset
2025-10-23T20:15:01.412Z,37812,20349,11291,34673,19292,25577,88327,71203,108372,54613,88004,147037,Day_3,Blackout Offset
