time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,Condition,Session
2025-10-23T19:02:41.352Z,259,1079,3058,636,1610,3551,25478,24547,52546,14079,32557,76833,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.392Z,255,1088,3050,630,1609,3530,24663,23839,51430,13526,31304,74233,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.432Z,254,1098,3043,631,1615,3520,24237,23485,50882,13308,30869,73221,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.472Z,256,1100,3043,637,1622,3531,24484,23715,51253,13573,31474,74449,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.512Z,259,1091,3047,644,1623,3551,25103,24249,52093,14031,32517,76581,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.552Z,259,1081,3050,645,1622,3563,25634,24698,52784,14358,33375,78121,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.592Z,256,1080,3053,641,1626,3566,25865,24902,53072,14469,33821,78629,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.632Z,262,1086,3057,642,1635,3570,25915,24971,53127,14498,33982,78687,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.672Z,277,1089,3059,654,1640,3578,26055,25120,53301,14634,34206,79192,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.712Z,287,1085,3061,664,1639,3587,26321,25365,53634,14849,34588,80092,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.752Z,279,1085,3062,661,1638,3590,26483,25506,53830,14939,34826,80534,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.792Z,265,1090,3062,650,1642,3586,26489,25500,53836,14896,34880,80411,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.832Z,256,1091,3057,641,1642,3577,26443,25443,53784,14830,34800,80146,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.872Z,255,1087,3050,639,1635,3563,26268,25286,53561,14686,34298,79520,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.912Z,262,1091,3044,643,1629,3545,25744,24842,52862,14295,33055,77750,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.952Z,269,1103,3041,645,1624,3524,24863,24097,51664,13656,31138,74805,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:41.992Z,270,1108,3040,642,1616,3513,24090,23442,50613,13126,29447,72376,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.032Z,266,1100,3042,641,1611,3519,23988,23355,50486,13114,29255,72368,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.072Z,264,1086,3046,646,1611,3537,24546,23826,51249,13574,30642,74511,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.112Z,268,1077,3050,653,1614,3554,25245,24413,52202,14098,32356,76880,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.152Z,277,1079,3054,660,1621,3564,25667,24762,52786,14382,33465,78138,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.192Z,283,1087,3056,661,1629,3568,25763,24836,52933,14417,33965,78299,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.232Z,281,1092,3053,659,1634,3569,25771,24839,52971,14398,34129,78261,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.272Z,273,1094,3047,654,1637,3567,25929,24967,53218,14501,34179,78771,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.312Z,269,1094,3043,653,1639,3567,26195,25186,53595,14682,34272,79594,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.352Z,274,1096,3047,658,1640,3570,26389,25350,53835,14801,34369,80114,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.392Z,283,1099,3056,665,1642,3575,26460,25421,53885,14826,34394,80237,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.432Z,287,1095,3060,667,1639,3576,26409,25387,53780,14762,34286,79980,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.472Z,282,1089,3055,658,1631,3563,26104,25126,53340,14520,33783,78883,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.512Z,271,1085,3044,642,1619,3539,25438,24552,52412,14046,32614,76667,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.552Z,259,1082,3036,627,1606,3518,24705,23916,51403,13569,31271,74431,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.592Z,253,1076,3034,622,1602,3519,24425,23676,51032,13452,30832,73867,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.632Z,255,1078,3037,630,1614,3537,24721,23954,51468,13751,31627,75194,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.672Z,263,1090,3043,644,1634,3558,25251,24436,52238,14179,32988,77117,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.712Z,269,1096,3052,655,1643,3573,25644,24773,52808,14443,34080,78340,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.752Z,271,1091,3059,658,1636,3577,25760,24853,52966,14462,34348,78479,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.792Z,275,1087,3058,659,1630,3572,25706,24799,52865,14354,33864,78025,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.831Z,281,1089,3049,661,1633,3564,25709,24812,52836,14310,33414,77820,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.871Z,280,1093,3041,660,1639,3562,25873,24970,53048,14424,33562,78306,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.911Z,277,1094,3042,656,1643,3568,26108,25176,53381,14610,34090,79144,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.951Z,276,1095,3052,655,1643,3577,26288,25322,53649,14740,34572,79760,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:42.991Z,276,1100,3065,656,1643,3584,26331,25351,53730,14761,34699,79884,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.031Z,275,1106,3070,654,1644,3581,26144,25180,53485,14617,34178,79243,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.071Z,272,1103,3061,650,1633,3560,25581,24684,52706,14191,32796,77296,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.111Z,269,1088,3047,646,1608,3527,24691,23912,51474,13540,30744,74260,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.151Z,268,1075,3037,645,1589,3506,23986,23305,50513,13068,29054,72034,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.191Z,269,1070,3039,646,1589,3512,24004,23319,50566,13156,29040,72432,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.231Z,270,1070,3046,649,1601,3539,24649,23871,51472,13674,30667,74880,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.271Z,268,1076,3049,647,1616,3559,25359,24483,52438,14177,32475,77280,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.311Z,265,1083,3045,644,1624,3562,25739,24820,52935,14399,33481,78350,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.351Z,265,1079,3042,643,1621,3553,25808,24895,53007,14405,33866,78359,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.391Z,265,1076,3043,644,1619,3548,25837,24932,53028,14417,34053,78350,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.431Z,262,1084,3047,644,1630,3554,26007,25080,53248,14555,34207,78892,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.471Z,260,1095,3053,644,1648,3565,26227,25269,53539,14727,34338,79609,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.511Z,264,1100,3061,648,1660,3576,26359,25381,53720,14826,34420,80039,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.551Z,272,1098,3067,655,1658,3584,26392,25404,53773,14849,34463,80136,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.591Z,276,1090,3071,657,1647,3585,26289,25317,53629,14774,34390,79761,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.631Z,277,1084,3073,655,1633,3579,25903,24991,53086,14483,33874,78406,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.671Z,281,1079,3072,654,1617,3563,25200,24384,52112,13959,32657,76007,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.711Z,282,1073,3063,652,1605,3541,24535,23802,51194,13501,31346,73916,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.751Z,280,1070,3052,652,1606,3532,24380,23669,50993,13461,31057,73779,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.791Z,282,1068,3049,659,1616,3542,24766,24016,51553,13804,31952,75434,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.831Z,289,1070,3055,670,1624,3560,25314,24500,52337,14206,33169,77333,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.871Z,297,1078,3062,680,1630,3571,25663,24795,52846,14412,33807,78319,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.913Z,302,1089,3066,681,1635,3571,25727,24827,52938,14400,33639,78296,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.953Z,301,1095,3066,677,1637,3567,25665,24756,52833,14323,33183,77939,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:43.993Z,303,1095,3070,677,1637,3573,25707,24790,52881,14347,32986,78042,Day_3,RedLightPol_Switched,Session_1
2025-10-23T19:02:44.033Z,305,1095,3075,680,1641,3584,25940,24998,53207,14513,33133,78783,Day_3,RedLightPol_Switched,Session_1
