Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Condition,Session
RedLightPol_Switched,Unpolarized_A_Green,C5,Baseline,277.0726887791108,57.50134552784726,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Unpolarized_A_Red,C2,Baseline,1097.1721947776994,71.28805851017253,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Unpolarized_A_IR,C4,Baseline,3053.229357798165,72.51497038983808,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Unpolarized_B_Green,C11,Baseline,651.5342272406492,39.684523308793494,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Unpolarized_B_Red,C8,Baseline,1635.2822865208186,46.60759087038045,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Unpolarized_B_IR,C10,Baseline,3559.5130557515877,44.58863975237696,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Co-Polarized_Green,C13,Baseline,25526.381086803107,733.3651885640255,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Co-Polarized_Red,C12,Baseline,24640.159491884264,631.3757860197663,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Co-Polarized_IR,C15,Baseline,52621.026111503175,1002.2794718818367,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Cross-Polarized_Green,C19,Baseline,14284.054340155257,516.7728239749239,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Cross-Polarized_Red,C18,Baseline,33113.12702893437,1369.661126470856,Day_3,RedLightPol_Switched,Session_1
RedLightPol_Switched,Cross-Polarized_IR,C21,Baseline,77619.29428369795,2370.6140491135225,Day_3,RedLightPol_Switched,Session_1
