Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
Unpolarized_A_Green,C5,0,250,0.0,10.0,1.4210854715202004e-17,13.04913625770104,0.106553399397912,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,25,275,1.0,11.0,-3.4106051316484808e-15,43.07013308047378,-2.08947953816328,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,50,300,2.0,12.0,-1.932676241267473e-15,62.48271557487046,3.5948703932309143,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,75,325,3.0,13.0,-3.979039320256561e-16,62.34377921587287,4.278952914426917,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,100,350,4.0,14.0,8.810729923425242e-16,61.87702336227768,4.4522014674244375,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,125,375,5.0,15.0,-3.410605131648481e-16,61.85140611149838,4.485975218066969,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,150,400,6.0,16.0,-4.547473508864641e-16,61.86041763109681,4.485779357101842,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,175,425,7.0,17.0,3.979039320256561e-16,61.826718016345886,4.48878699161854,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,200,450,8.0,18.0,2.1316282072803002e-16,62.04347969514855,4.483590619124842,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,225,475,9.0,19.0,-3.410605131648481e-16,62.16283835776184,4.387828091179979,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,250,500,10.0,20.0,-1.0231815394945442e-15,62.06742392278269,4.582664577452781,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,275,525,11.0,21.0,0.0,39.89671167867225,-2.191471180065623,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,300,550,12.0,22.0,5.258016244624741e-16,13.045306954598749,0.3206177249079134,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,325,575,13.0,23.0,5.684341886080802e-17,13.294559080315697,0.1635445135486223,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,350,600,14.0,24.0,-1.9895196601282808e-16,12.696025124924574,0.1301982373530933,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,375,625,15.0,25.0,2.131628207280301e-17,12.766215089515637,0.1007840662783499,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,400,650,16.0,26.0,3.1263880373444406e-16,12.105863643679411,-0.016401469991404,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,425,675,17.0,27.0,7.3896444519050485e-16,12.968328329634408,0.1023575236745603,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,450,700,18.0,28.0,4.547473508864641e-16,11.760254807831034,0.1477160090726561,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,475,725,19.0,29.0,2.8421709430404013e-16,12.006100838893678,0.1256490266516857,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,500,750,20.0,30.0,3.1263880373444406e-16,11.988432600628428,0.1353915371696155,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,525,775,21.0,31.0,-5.684341886080802e-17,12.421246332981012,0.1403955245875733,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,550,800,22.0,32.0,-1.1368683772161603e-16,11.684582646884376,0.2284922798338778,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,575,825,23.0,33.0,0.0,11.220212452163931,0.3462121555452107,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,600,850,24.0,34.0,-2.4158453015843413e-16,11.190754369267596,0.4175325235463031,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,625,875,25.0,35.0,5.684341886080802e-17,11.066880824971928,0.4002865850075253,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,650,900,26.0,36.0,4.263256414560601e-16,11.23432542745513,0.3723747785582417,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,675,925,27.0,37.0,8.5265128291212e-17,10.573861645033126,0.3346222263578792,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,700,950,28.0,38.0,-1.70530256582424e-16,10.705858281212375,0.1886229312320484,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,725,975,29.0,39.0,5.684341886080802e-17,10.808106462139488,0.293442269442928,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,750,1000,30.0,40.0,8.5265128291212e-17,10.49626425310896,0.2862403225110212,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,775,1025,31.0,41.0,1.2789769243681802e-16,10.151560397414146,0.0767806233019655,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,800,1050,32.0,42.0,9.237055564881302e-17,10.244334874199106,0.0803044210474372,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Green,C5,825,1075,33.0,43.0,1.4210854715202004e-16,10.0038531050302,0.2038898192129781,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,0,250,0.0,10.0,3.410605131648481e-16,16.093705126976396,-0.0288445418795684,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,25,275,1.0,11.0,5.684341886080802e-17,17.135983313314917,-0.1785605354385812,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,50,300,2.0,12.0,-1.70530256582424e-16,17.792583669530327,-0.0081048731251797,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,75,325,3.0,13.0,-1.1368683772161603e-16,16.636666626076522,0.1949085569481723,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,100,350,4.0,14.0,1.1368683772161603e-16,16.3033142553205,0.0955911785714566,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,125,375,5.0,15.0,0.0,16.644800577437838,0.0427400062006792,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,150,400,6.0,16.0,7.247535904753021e-16,17.312681695695957,0.1068252012864259,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,175,425,7.0,17.0,-5.6843418860808095e-16,72.64137290629677,4.02423251307946,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,200,450,8.0,18.0,-6.821210263296962e-16,76.2268451966657,1.749835675839716,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,225,475,9.0,19.0,-4.547473508864641e-16,76.1086275839371,1.1090815688741458,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,250,500,10.0,20.0,-1.0231815394945442e-15,76.08910221052714,1.0740159532102962,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,275,525,11.0,21.0,8.5265128291212e-17,75.83730112863013,1.1209186842705818,Day_4,Experiment_3,IR,Dark,0,Un. Pol
Unpolarized_A_Red,C2,300,550,12.0,22.0,9.094947017729285e-16,75.63763775424948,1.0973010537776748,Day_4,Experiment_3,IR,Dark,0,Un. Pol
