Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Dark_180_OgPol,Unpolarized_A_Green,C5,PI,-341.1809737506551,273.8131252382803,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Unpolarized_A_Red,C2,PI,-242.6104263348028,147.50304282158856,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Unpolarized_A_IR,C4,PI,-148.3892198997958,304.45710680868274,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Unpolarized_B_Green,C11,PI,-213.82655731282662,52.91993109148335,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Unpolarized_B_Red,C8,PI,-208.408630304831,37.37082447776035,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Unpolarized_B_IR,C10,PI,-212.9448631948339,44.09639068758514,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Co-Polarized_Green,C13,PI,-189.39290934193477,59.79912142314275,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Co-Polarized_Red,C12,PI,-183.22406680495965,38.872679655664164,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Co-Polarized_IR,C15,PI,-187.08846412466798,30.517268890848907,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Cross-Polarized_Green,C19,PI,-245.9945395532844,283.31452320859364,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Cross-Polarized_Red,C18,PI,-225.66814589567008,360.510695471231,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
IR_Dark_180_OgPol,Cross-Polarized_IR,C21,PI,-188.37378273395635,42.93416629414724,Day_4,Experiment_3,IR,Dark,180,Og. Pol.
