time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
2025-10-24T20:38:57.321Z,12,816,1725,250,1025,1666,36040,29739,49484,3536,3790,15675,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.361Z,15,828,1744,255,1033,1685,36194,29999,49690,3578,3872,15982,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.401Z,23,851,1758,257,1043,1695,36268,30141,49749,3603,3907,16102,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.441Z,35,864,1762,258,1050,1693,36294,30197,49725,3612,3917,16104,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.481Z,46,862,1757,261,1051,1686,36335,30263,49749,3620,3942,16135,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.521Z,47,853,1740,260,1049,1681,36401,30360,49853,3636,3994,16277,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.561Z,40,844,1713,256,1045,1678,36456,30433,49940,3654,4045,16457,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.601Z,35,835,1688,252,1039,1674,36486,30480,49950,3666,4076,16572,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.641Z,36,829,1684,252,1034,1673,36487,30499,49897,3674,4081,16582,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.681Z,40,831,1702,255,1033,1674,36418,30410,49794,3669,4043,16441,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.721Z,44,843,1723,257,1033,1670,36226,30126,49610,3624,3941,16077,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.761Z,47,859,1737,254,1033,1661,35926,29703,49331,3548,3803,15585,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.801Z,47,868,1747,249,1035,1658,35696,29389,49101,3496,3716,15282,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.841Z,46,867,1758,249,1037,1665,35704,29391,49097,3502,3733,15362,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.881Z,41,867,1759,251,1039,1674,35900,29642,49290,3543,3816,15684,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.921Z,35,869,1746,251,1040,1678,36110,29916,49512,3580,3896,15988,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:57.961Z,30,867,1732,250,1041,1679,36227,30063,49652,3599,3934,16139,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.001Z,26,856,1739,252,1039,1684,36269,30089,49711,3607,3936,16169,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.041Z,20,839,1764,257,1037,1695,36317,30110,49756,3619,3941,16221,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.081Z,14,820,1779,260,1033,1706,36400,30218,49840,3642,3977,16381,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.121Z,18,808,1766,259,1031,1708,36452,30363,49917,3661,4026,16557,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.161Z,33,805,1738,259,1030,1702,36444,30458,49926,3668,4057,16644,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.201Z,51,812,1728,261,1035,1700,36424,30489,49903,3664,4062,16641,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.241Z,59,832,1736,260,1043,1699,36393,30430,49875,3643,4033,16530,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.281Z,57,858,1741,258,1049,1688,36267,30178,49758,3593,3943,16208,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.321Z,52,876,1737,256,1043,1669,36005,29703,49465,3520,3787,15651,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.361Z,44,878,1736,253,1024,1657,35714,29228,49112,3458,3643,15115,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.401Z,40,868,1741,251,1003,1656,35590,29098,48957,3448,3610,14966,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.442Z,45,856,1749,256,996,1667,35699,29363,49081,3489,3694,15245,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.482Z,52,848,1763,264,1006,1683,35913,29748,49334,3544,3804,15658,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.522Z,47,841,1773,266,1020,1696,36093,30019,49548,3582,3875,15940,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.562Z,36,833,1773,260,1028,1701,36189,30131,49644,3598,3903,16040,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.602Z,28,823,1770,254,1030,1703,36231,30160,49631,3603,3916,16060,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.642Z,26,819,1773,250,1033,1711,36276,30209,49603,3614,3940,16138,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.682Z,26,823,1774,248,1036,1719,36346,30306,49654,3634,3980,16307,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.722Z,25,832,1763,247,1039,1716,36414,30415,49765,3652,4024,16491,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.762Z,30,838,1743,249,1039,1703,36434,30497,49865,3656,4059,16603,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.802Z,43,839,1729,254,1036,1689,36392,30503,49912,3646,4068,16598,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.842Z,54,844,1731,257,1035,1680,36284,30340,49869,3619,4020,16402,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.882Z,52,851,1745,256,1033,1674,36098,29955,49695,3563,3888,15951,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.922Z,38,851,1760,250,1026,1670,35880,29493,49432,3495,3724,15413,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:58.962Z,25,847,1765,245,1021,1669,35780,29263,49244,3464,3640,15148,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.002Z,26,842,1762,248,1020,1672,35876,29401,49267,3495,3684,15304,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.042Z,36,832,1762,256,1022,1679,36058,29732,49461,3555,3793,15683,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.082Z,43,826,1766,263,1028,1687,36187,30016,49661,3598,3882,16007,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.122Z,42,838,1766,265,1038,1691,36228,30139,49740,3606,3915,16145,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.162Z,34,855,1761,259,1047,1693,36220,30142,49726,3593,3914,16156,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.202Z,25,857,1757,250,1050,1697,36239,30152,49743,3591,3925,16203,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.242Z,19,847,1757,244,1047,1706,36315,30241,49840,3610,3963,16339,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.282Z,12,835,1758,239,1040,1712,36403,30369,49930,3635,4011,16477,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.322Z,5,822,1750,235,1035,1708,36453,30474,49966,3651,4053,16565,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.362Z,1,818,1744,235,1034,1701,36453,30512,49971,3653,4072,16589,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.402Z,3,825,1757,236,1037,1699,36391,30423,49914,3637,4043,16472,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.442Z,12,836,1773,240,1038,1696,36217,30132,49707,3593,3941,16113,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.482Z,29,844,1768,249,1034,1683,35919,29661,49354,3524,3786,15581,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.521Z,41,841,1753,256,1027,1671,35639,29265,49042,3469,3671,15203,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.561Z,36,827,1747,257,1020,1670,35574,29227,48982,3465,3673,15231,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.601Z,27,817,1755,257,1018,1677,35739,29514,49166,3504,3765,15552,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.641Z,32,811,1770,259,1018,1686,35971,29849,49432,3551,3868,15889,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.681Z,50,805,1787,263,1019,1693,36123,30033,49623,3584,3924,16075,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.721Z,59,806,1794,264,1022,1694,36158,30053,49676,3600,3933,16122,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.761Z,49,823,1789,260,1029,1694,36135,30019,49657,3616,3941,16173,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.801Z,32,842,1775,255,1033,1697,36147,30067,49682,3641,3985,16343,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.841Z,24,844,1764,257,1032,1702,36227,30213,49777,3662,4042,16551,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.881Z,27,833,1767,262,1029,1706,36337,30369,49872,3670,4074,16659,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.921Z,28,824,1780,262,1030,1707,36412,30476,49917,3671,4083,16663,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:38:59.961Z,26,821,1784,258,1031,1701,36412,30482,49902,3664,4065,16574,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.001Z,30,822,1772,256,1027,1690,36295,30285,49778,3629,3987,16293,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.041Z,39,825,1761,257,1016,1676,36034,29846,49497,3558,3838,15758,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.081Z,46,830,1760,261,1003,1663,35745,29358,49164,3487,3681,15189,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.121Z,58,833,1759,268,994,1656,35637,29147,49004,3463,3618,14974,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.161Z,68,839,1752,273,996,1656,35760,29311,49117,3493,3675,15215,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.201Z,64,844,1749,273,1009,1666,35961,29632,49370,3536,3784,15634,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.241Z,52,846,1757,274,1021,1679,36104,29900,49588,3565,3874,15944,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.281Z,50,850,1769,279,1028,1691,36186,30059,49697,3581,3920,16060,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.321Z,48,856,1780,280,1031,1698,36225,30119,49728,3587,3928,16062,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.361Z,38,851,1788,272,1030,1703,36239,30139,49771,3590,3931,16098,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.401Z,29,842,1792,262,1030,1709,36275,30196,49853,3605,3963,16245,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.441Z,32,842,1784,257,1035,1713,36333,30289,49930,3636,4016,16445,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.481Z,47,849,1768,262,1040,1708,36363,30352,49984,3661,4053,16589,Day_4,Experiment_3,IR,Dark,90,Og. Pol
2025-10-24T20:39:00.521Z,59,845,1754,267,1041,1698,36354,30356,50003,3662,4052,16614,Day_4,Experiment_3,IR,Dark,90,Og. Pol
