time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
2025-10-24T18:04:47.376Z,97,1047,2356,500,1643,2434,2821,2552,5907,1845,1985,3844,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.416Z,95,1037,2344,491,1614,2397,2785,2544,5857,1818,1933,3768,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.456Z,93,1020,2324,473,1575,2350,2747,2525,5802,1789,1867,3673,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.496Z,87,1005,2310,458,1553,2323,2721,2513,5781,1775,1830,3623,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.536Z,87,1001,2309,458,1559,2329,2730,2514,5799,1784,1836,3645,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.576Z,89,1001,2315,467,1577,2354,2773,2499,5824,1807,1858,3700,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.616Z,85,996,2325,475,1592,2376,2820,2472,5837,1826,1879,3742,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.656Z,81,988,2336,482,1597,2391,2845,2460,5843,1836,1898,3764,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.696Z,88,994,2338,488,1602,2399,2851,2460,5845,1841,1915,3780,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.736Z,97,1013,2334,493,1618,2405,2853,2461,5852,1846,1931,3806,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.776Z,95,1028,2342,493,1635,2415,2855,2462,5871,1854,1949,3838,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.816Z,87,1032,2358,493,1641,2425,2856,2467,5880,1862,1961,3855,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.856Z,87,1032,2364,494,1643,2430,2848,2481,5875,1867,1968,3859,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.896Z,95,1036,2359,498,1648,2428,2818,2509,5866,1862,1977,3858,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.936Z,106,1041,2353,498,1646,2418,2771,2534,5844,1847,1975,3838,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:47.976Z,109,1036,2337,488,1620,2391,2733,2538,5795,1823,1942,3773,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:48.016Z,105,1018,2299,470,1574,2340,2724,2520,5731,1797,1876,3669,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:48.056Z,101,1001,2253,458,1536,2291,2736,2499,5692,1781,1815,3585,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:48.096Z,93,999,2233,455,1529,2276,2758,2493,5707,1783,1804,3576,Day_4,Experiment_3,IR,Dark,90,Un. Pol
2025-10-24T18:04:48.136Z,88,1008,2244,458,1550,2295,2790,2502,5760,1800,1840,3630,Day_4,Experiment_3,IR,Dark,90,Un. Pol
