Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Dark_90_UnPol,Unpolarized_A_Green,C5,PI,-235.98850408318148,102.2584760698275,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Unpolarized_A_Red,C2,PI,-288.9518813790531,236.46989086254723,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Unpolarized_A_IR,C4,PI,-225.44373074943155,116.79805566085652,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Unpolarized_B_Green,C11,PI,-198.17208869813254,37.68792669667581,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Unpolarized_B_Red,C8,PI,-196.3494530194333,44.89347481833724,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Unpolarized_B_IR,C10,PI,-184.23161608762896,24.044020041277268,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Co-Polarized_Green,C13,PI,-240.58247909777205,178.35342759616546,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Co-Polarized_Red,C12,PI,-207.64618818504334,215.57669095137564,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Co-Polarized_IR,C15,PI,-110.39352890608855,552.8680068024161,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Cross-Polarized_Green,C19,PI,-204.14657864290385,56.62506579277472,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Cross-Polarized_Red,C18,PI,-159.44674020259833,77.70668831398075,Day_4,Experiment_3,IR,Dark,90,Un. Pol
IR_Dark_90_UnPol,Cross-Polarized_IR,C21,PI,-188.1050543447968,42.250933592828105,Day_4,Experiment_3,IR,Dark,90,Un. Pol
