time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
2025-10-24T20:30:02.814Z,74,815,2024,252,848,1659,58986,51994,54054,13668,13801,20767,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:02.854Z,52,772,2034,227,808,1659,61560,51031,86574,13609,13505,20526,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:02.894Z,31,771,2086,214,808,1717,61488,51042,92673,13573,13503,20559,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:02.934Z,45,795,2017,218,835,1658,61555,51074,92637,13587,13515,20533,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:02.974Z,67,764,2084,239,796,1698,62806,50598,92586,13560,13549,20538,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.014Z,26,770,2067,204,793,1695,61494,51032,92588,13588,13507,20511,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.054Z,28,811,2071,213,847,1705,61475,51028,92578,13544,13495,20532,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.094Z,29,770,2052,205,801,1672,61492,51028,92600,13564,13500,20541,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.134Z,45,770,2024,227,801,1652,61528,51020,92603,13587,13503,20550,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.294Z,44,776,2051,221,812,1680,61655,51002,90521,13587,13510,20538,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.334Z,45,777,2056,221,812,1685,61815,50948,91880,13579,13517,20537,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.374Z,44,777,2061,220,810,1688,61901,50911,92445,13573,13519,20531,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.414Z,38,780,2064,216,811,1691,61793,50936,92572,13569,13513,20529,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.454Z,33,782,2061,212,813,1687,61619,50988,92588,13566,13505,20531,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.494Z,31,779,2053,211,810,1679,61528,51018,92591,13570,13502,20535,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.534Z,29,776,2048,209,806,1674,61510,51028,92587,13579,13504,20535,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.574Z,28,779,2049,207,808,1675,61513,51034,92575,13586,13508,20527,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.614Z,30,784,2047,207,814,1675,61516,51039,92563,13585,13512,20520,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.174Z,10,763,2065,190,789,1686,61493,51042,92591,13593,13508,20528,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.214Z,23,812,2056,198,843,1685,61529,51033,92518,13594,13512,20505,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.054Z,52,772,2033,226,808,1659,61560,51031,86574,13609,13505,20525,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.094Z,51,771,2034,226,808,1659,61559,51031,86575,13608,13505,20526,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.134Z,51,772,2034,226,808,1659,61559,51031,86594,13608,13504,20526,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.174Z,51,772,2035,226,808,1660,61558,51031,86736,13608,13504,20526,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.214Z,49,772,2038,225,808,1664,61556,51031,87324,13604,13505,20529,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.254Z,46,773,2045,223,810,1673,61572,51027,88700,13597,13506,20534,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.654Z,33,789,2042,208,819,1671,61508,51041,92559,13578,13513,20518,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.694Z,31,792,2037,206,822,1666,61490,51042,92560,13571,13513,20520,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.734Z,32,793,2036,206,824,1666,61477,51043,92560,13570,13515,20522,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.774Z,38,790,2036,212,822,1667,61471,51039,92560,13573,13513,20522,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.814Z,42,787,2034,216,819,1667,61469,51032,92560,13576,13508,20524,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.854Z,42,784,2031,216,816,1666,61472,51028,92553,13580,13503,20524,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.894Z,41,783,2031,214,815,1668,61482,51030,92536,13585,13502,20519,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.934Z,42,784,2034,216,817,1671,61490,51031,92522,13588,13503,20513,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:03.974Z,47,782,2034,222,816,1671,61492,51034,92519,13589,13503,20512,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.014Z,50,779,2031,225,813,1666,61489,51041,92517,13587,13506,20513,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.054Z,48,777,2028,222,808,1658,61481,51050,92508,13581,13511,20514,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.094Z,43,776,2026,216,803,1653,61470,51053,92498,13574,13516,20516,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.134Z,39,775,2025,212,802,1653,61459,51045,92492,13569,13516,20515,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.174Z,39,776,2025,212,805,1657,61446,51028,92485,13565,13510,20511,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.214Z,42,777,2024,217,809,1659,61437,51010,92482,13561,13501,20509,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.254Z,42,776,2024,217,809,1659,61440,50997,92486,13561,13495,20510,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.294Z,40,776,2027,214,809,1662,61452,50990,92491,13568,13494,20514,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.334Z,39,776,2033,211,811,1669,61455,50990,92487,13573,13495,20515,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.374Z,39,776,2037,210,811,1675,61444,50997,92472,13574,13497,20512,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.414Z,38,774,2039,210,808,1677,61435,51005,92456,13576,13497,20506,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.454Z,37,770,2043,212,802,1678,61433,51006,92450,13575,13493,20501,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.894Z,31,795,2035,206,820,1665,61397,50979,92433,13567,13486,20510,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.934Z,34,789,2039,212,816,1669,61394,50967,92442,13563,13483,20511,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:04.974Z,36,783,2040,213,811,1669,61389,50948,92450,13555,13477,20511,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:05.014Z,40,778,2042,213,808,1670,61383,50932,92448,13549,13470,20510,Day_4,Experiment_3,IR,Fair,90,Og. Pol
2025-10-24T20:30:05.054Z,46,776,2048,217,808,1675,61371,50924,92434,13544,13466,20506,Day_4,Experiment_3,IR,Fair,90,Og. Pol
