Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
Unpolarized_A_Green,C5,0,500,0.0,10.0,5.684341886080802e-17,13.207997904930217,0.3682622748752191,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,50,550,1.0,11.0,-2.2737367544323206e-16,12.967119018539242,0.3173594850332641,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,100,600,2.0,12.0,-3.6948222259525213e-16,12.828160459450702,0.3129404761738528,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,150,650,3.0,13.0,4.263256414560601e-16,12.711520646848516,0.2137753029164172,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,200,700,4.0,14.0,5.684341886080802e-17,12.687033439200349,0.2350717762679413,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,250,750,5.0,15.0,5.115907697472721e-16,18.71279703927435,1.8855316676670584,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,300,800,6.0,16.0,2.842170943040401e-17,19.278111679109063,1.897009939424125,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,350,850,7.0,17.0,-3.552713678800501e-16,19.289721233458145,1.840976037345542,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,400,900,8.0,18.0,-2.984279490192421e-16,18.996786313167263,1.9193574481340947,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,450,950,9.0,19.0,2.8421709430404013e-16,19.536125183117548,1.8174434793463785,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,500,1000,10.0,20.0,-1.1368683772161603e-16,18.69139690579205,2.0278236423434843,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,550,1050,11.0,21.0,-1.1368683772161603e-16,18.777595129787997,1.9565363130933744,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,600,1100,12.0,22.0,0.0,19.207328430016705,1.8705510712735445,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,650,1150,13.0,23.0,-1.70530256582424e-16,19.136020632644712,1.8460165937058963,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,700,1200,14.0,24.0,3.1263880373444406e-16,19.163772512993035,1.9844588519997108,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,750,1250,15.0,25.0,-1.70530256582424e-16,13.488698121579516,0.1929608880290886,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,800,1300,16.0,26.0,0.0,13.262101616005634,0.2907802562499205,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,850,1350,17.0,27.0,-3.979039320256561e-16,13.474369055421,0.3413565476705342,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,900,1400,18.0,28.0,-1.5631940186722203e-16,12.826697650215474,0.3445237121302391,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Green,C5,950,1450,19.0,29.0,5.684341886080802e-17,12.585406589442396,0.2646868849787438,Day_4,Experiment_3,IR,Fair,90,Og. Pol
Unpolarized_A_Red,C2,0,500,0.0,10.0,3.410605131648481e-16,18.232748688797813,0.293309300592527,Day_4,Experiment_3,IR,Fair,90,Og. Pol
