time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
2025-10-24T19:47:39.564Z,18,574,2448,266,1079,2197,2747,2479,7971,1654,1595,5510,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.604Z,32,743,2378,282,1088,2195,2771,2470,7957,1665,1590,5511,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.644Z,50,908,2247,299,1096,2190,2792,2456,7978,1675,1581,5526,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.684Z,50,1032,2170,300,1097,2183,2779,2459,8016,1673,1582,5546,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.724Z,30,1120,2244,286,1095,2185,2754,2485,8038,1666,1595,5558,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.764Z,11,1170,2375,270,1096,2194,2742,2514,8039,1661,1604,5560,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.804Z,2,1159,2441,262,1099,2197,2755,2525,8029,1663,1601,5549,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.844Z,0,1068,2437,260,1092,2189,2799,2529,8016,1673,1594,5520,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.884Z,0,950,2417,258,1080,2178,2851,2536,7996,1680,1590,5480,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.924Z,0,868,2418,253,1077,2173,2882,2542,7969,1679,1589,5452,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:39.964Z,0,836,2446,248,1083,2178,2891,2550,7947,1676,1595,5453,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.004Z,1,856,2487,247,1092,2188,2888,2560,7940,1678,1606,5472,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.044Z,5,892,2514,253,1095,2198,2877,2566,7941,1682,1615,5492,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.084Z,13,910,2506,263,1091,2201,2860,2559,7939,1685,1618,5503,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.124Z,20,909,2475,272,1085,2198,2835,2543,7936,1684,1615,5511,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.164Z,22,901,2445,273,1082,2193,2803,2536,7938,1677,1608,5520,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.204Z,20,897,2433,268,1082,2194,2777,2550,7945,1672,1604,5527,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.244Z,15,902,2442,266,1082,2203,2765,2568,7957,1675,1603,5532,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.284Z,12,921,2459,269,1088,2213,2764,2567,7972,1680,1602,5537,Day_4,Experiment_3,IR,Fair,90,Un. Pol
2025-10-24T19:47:40.324Z,19,948,2474,279,1098,2215,2770,2562,7994,1678,1604,5546,Day_4,Experiment_3,IR,Fair,90,Un. Pol
