time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:55:34.155Z,3344,6079,23133,4460,8194,25452,4060,4960,17280,5687,9576,28119,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:34.195Z,3338,6058,23060,4480,8206,25450,4113,4994,17472,5942,10015,28905,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:33.735Z,3332,6047,23037,4481,8205,25449,4138,5006,17526,5988,10096,29060,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:33.775Z,3321,6035,23027,4470,8197,25446,4147,5017,17531,5994,10100,29071,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:33.815Z,3307,6015,22999,4464,8191,25443,4155,5037,17588,6113,10290,29384,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:33.855Z,3298,5996,22964,4469,8186,25442,4158,5054,17679,6288,10578,29849,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:33.895Z,3302,5994,22960,4478,8186,25447,4148,5060,17712,6349,10682,29986,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:33.935Z,3319,6022,23025,4477,8189,25461,4118,5046,17589,6157,10361,29365,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:33.975Z,3347,6078,23168,4459,8190,25480,4070,4995,17267,5687,9559,27884,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:34.015Z,3370,6131,23309,4438,8183,25495,4031,4924,16922,5200,8716,26377,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:34.055Z,3366,6135,23326,4432,8177,25491,4036,4886,16850,5110,8547,26154,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:34.596Z,3338,6094,23215,4440,8181,25472,4079,4910,17079,5447,9118,27264,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:34.636Z,3312,6054,23097,4452,8192,25456,4114,4959,17348,5832,9785,28474,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:34.676Z,3305,6038,23043,4462,8204,25450,4122,5001,17484,6028,10139,29041,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:34.716Z,3310,6033,23023,4474,8211,25449,4127,5039,17555,6155,10371,29341,Fair,Fast,2.5mm,Experiment_1
