time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:40:00.095Z,3298,5919,22945,4499,8179,25499,4233,5190,18074,6440,10847,30262,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.135Z,3319,5985,23036,4490,8180,25510,4213,5134,17883,6126,10325,29360,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.175Z,3352,6042,23153,4478,8172,25528,4163,5048,17555,5647,9517,27893,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.215Z,3380,6070,23265,4465,8154,25543,4096,4954,17208,5185,8728,26456,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.255Z,3386,6064,23312,4458,8141,25546,4052,4890,17040,4995,8410,25891,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.295Z,3368,6034,23270,4460,8142,25541,4058,4902,17119,5153,8692,26402,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.335Z,3339,6000,23182,4467,8159,25539,4103,4984,17342,5506,9291,27464,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.375Z,3315,5974,23097,4476,8182,25540,4153,5074,17584,5866,9876,28513,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.415Z,3303,5996,23032,4484,8201,25538,4189,5132,17768,6123,10293,29266,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.455Z,3297,6152,22976,4489,8204,25529,4210,5150,17862,6248,10513,29647,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.495Z,3296,6458,22944,4491,8197,25520,4222,5132,17875,6262,10549,29709,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.535Z,3302,6706,22955,4493,8191,25514,4219,5104,17838,6191,10425,29522,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.575Z,3313,6699,22985,4495,8188,25509,4195,5093,17792,6101,10269,29260,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.615Z,3316,6506,22990,4492,8191,25506,4174,5106,17801,6115,10300,29265,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.655Z,3308,6242,22958,4487,8190,25504,4181,5135,17892,6272,10567,29668,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.695Z,3301,5948,22923,4488,8169,25498,4201,5171,18004,6448,10862,30182,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.735Z,3297,5633,22906,4494,8123,25493,4209,5205,18084,6542,11035,30512,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.775Z,3291,5349,22897,4499,8062,25497,4220,5223,18127,6585,11118,30644,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.815Z,3283,5168,22889,4502,7982,25503,4255,5215,18147,6629,11161,30694,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.855Z,3285,5056,22886,4504,7876,25499,4290,5193,18150,6658,11159,30703,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.895Z,3299,5079,22889,4507,7837,25490,4285,5170,18126,6613,11070,30573,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.935Z,3320,5372,22906,4508,7949,25493,4234,5147,18027,6437,10812,30108,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:00.975Z,3347,5789,22974,4504,8123,25507,4166,5111,17796,6083,10260,29110,Fair,Slow,2.5mm,Experiment_1
2025-10-21T20:40:01.015Z,3373,6136,23105,4487,8256,25523,4103,5053,17451,5588,9436,27653,Fair,Slow,2.5mm,Experiment_1
