time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:50:01.116Z,3352,6080,23167,4455,8188,25474,4024,4972,17266,5516,9313,27464,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.156Z,3378,6120,23268,4444,8175,25467,3959,4909,16985,5084,8587,26231,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.196Z,3374,6117,23253,4444,8175,25455,3965,4920,17000,5115,8637,26374,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.236Z,3350,6081,23152,4462,8187,25450,4032,4992,17255,5527,9324,27583,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.276Z,3329,6042,23057,4484,8196,25456,4106,5065,17528,5956,10034,28792,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.316Z,3317,6019,23014,4493,8196,25468,4149,5094,17684,6169,10374,29382,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.356Z,3309,6014,23009,4488,8191,25479,4164,5083,17727,6186,10393,29457,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.396Z,3302,6016,23000,4482,8191,25483,4175,5072,17738,6188,10391,29507,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.436Z,3295,6011,22963,4482,8196,25472,4192,5084,17787,6311,10593,29866,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.476Z,3287,6002,22918,4484,8204,25456,4205,5105,17862,6489,10894,30342,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.516Z,3278,5999,22895,4484,8212,25455,4209,5118,17921,6598,11080,30625,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.556Z,3276,5996,22896,4483,8217,25466,4213,5130,17950,6624,11125,30690,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.597Z,3284,5994,22920,4483,8212,25475,4209,5135,17924,6560,11022,30500,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:01.637Z,3304,6008,22990,4478,8201,25482,4173,5100,17770,6304,10604,29760,Fair,Medium,2.5mm,Experiment_2
