ts,time,c14,c16,c17,c20,c22,c23
2024-11-08 22:33:58,0,30930,33656,37886,35682,27599,31681
2024-11-08 22:33:58,0.04,32585,36164,41366,36822,29007,33898
2024-11-08 22:33:58,0.08,36460,41055,47849,40328,31824,38101
2024-11-08 22:33:58,0.12,41289,46729,55258,45685,35246,42998
2024-11-08 22:33:58,0.16,45219,51113,60979,50721,38204,47075
2024-11-08 22:33:58,0.2,47593,53573,64229,54032,40192,49716
2024-11-08 22:33:59,0.24,48907,54800,65889,55943,41371,51230
2024-11-08 22:33:59,0.28,49688,55429,66753,56914,42012,52033
2024-11-08 22:33:59,0.32,50124,55680,67085,57063,42249,52320
2024-11-08 22:33:59,0.36,50204,55675,67051,56753,42210,52264
2024-11-08 22:33:59,0.4,49959,55538,66838,56393,42044,52054
2024-11-08 22:33:59,0.44,49617,55367,66595,56122,41868,51837
2024-11-08 22:33:59,0.48,49406,55271,66465,55967,41785,51744
2024-11-08 22:33:59,0.52,49393,55345,66561,55953,41909,51927
2024-11-08 22:33:59,0.56,49471,55474,66726,56105,42269,52429
2024-11-08 22:33:59,0.6,49291,55217,66394,56410,42624,52928
2024-11-08 22:33:59,0.64,48582,54318,65231,56695,42651,52985
2024-11-08 22:33:59,0.68,47576,53166,63721,56688,42346,52590
2024-11-08 22:33:59,0.72,46651,52227,62456,56283,41861,51958
2024-11-08 22:33:59,0.76,45975,51582,61551,55586,41274,51194
2024-11-08 22:33:59,0.8,45592,51150,60935,54804,40694,50429
2024-11-08 22:33:59,0.84,45432,50883,60570,54128,40241,49807
2024-11-08 22:33:59,0.88,45411,50798,60472,53748,39996,49448
2024-11-08 22:33:59,0.92,45463,50860,60579,53719,39949,49360
2024-11-08 22:33:59,0.96,45517,50926,60686,53807,39958,49367
2024-11-08 22:33:59,1,45521,50876,60631,53761,39887,49279
2024-11-08 22:33:59,1.04,45440,50714,60411,53559,39719,49060
2024-11-08 22:33:59,1.08,45292,50513,60121,53310,39506,48776
2024-11-08 22:33:59,1.12,45141,50315,59826,53096,39257,48443
2024-11-08 22:33:59,1.16,45026,50138,59557,52931,38967,48061
