ts,time,c14,c16,c17,c20,c22,c23
2024-10-08 22:09:18,0,336502,379657,212523,306751,254134,173067
2024-10-08 22:09:18,0.04,336563,379707,213113,306807,254170,173549
2024-10-08 22:09:18,0.08,336617,379759,213505,306896,254225,173879
2024-10-08 22:09:18,0.12,336699,379834,213401,307003,254277,173788
2024-10-08 22:09:18,0.16,336719,379855,213014,307036,254227,173422
2024-10-08 22:09:18,0.2,336668,379815,213174,306922,254013,173417
2024-10-08 22:09:18,0.24,336643,379798,214464,306665,253745,174282
2024-10-08 22:09:18,0.28,336608,379776,216008,306348,253579,175441
2024-10-08 22:09:18,0.32,336434,379636,216377,306107,253528,175802
2024-10-08 22:09:18,0.36,336169,379408,215547,306007,253524,175268
2024-10-08 22:09:18,0.4,335933,379193,214676,306022,253552,174710
2024-10-08 22:09:18,0.44,335741,379022,214669,306100,253617,174853
2024-10-08 22:09:18,0.48,335654,378959,215230,306199,253703,175414
2024-10-08 22:09:18,0.52,335765,379064,215334,306312,253800,175506
2024-10-08 22:09:18,0.56,336003,379258,214966,306458,253913,175167
2024-10-08 22:09:18,0.6,336185,379388,215018,306632,254037,175227
2024-10-08 22:09:18,0.64,336199,379374,215625,306792,254147,175838
2024-10-08 22:09:18,0.68,336072,379243,216070,306907,254230,176364
2024-10-08 22:09:19,0.72,335861,379036,216016,306988,254293,176486
2024-10-08 22:09:19,0.76,335577,378758,215785,307054,254348,176478
2024-10-08 22:09:19,0.8,335252,378440,215552,307111,254395,176489
2024-10-08 22:09:19,0.84,334968,378160,215125,307142,254413,176304
2024-10-08 22:09:19,0.88,334802,377997,214511,307096,254363,175853
2024-10-08 22:09:19,0.92,334708,377914,213858,306914,254210,175254
2024-10-08 22:09:19,0.96,334578,377815,213009,306616,253982,174451
2024-10-08 22:09:19,1,334444,377723,212018,306349,253793,173552
2024-10-08 22:09:19,1.04,334373,377667,211458,306240,253725,173067
2024-10-08 22:09:19,1.08,334337,377619,211468,306281,253761,173122
2024-10-08 22:09:19,1.12,334326,377599,211500,306417,253868,173234
2024-10-08 22:09:19,1.16,334328,377607,211246,306587,254001,173116
2024-10-08 22:09:19,1.2,334272,377566,211026,306701,254090,173019
2024-10-08 22:09:19,1.24,334093,377412,211241,306689,254087,173280
2024-10-08 22:09:19,1.28,333826,377156,211730,306586,254007,173768
2024-10-08 22:09:19,1.32,333628,376938,211971,306475,253901,174013
2024-10-08 22:09:19,1.36,333619,376904,211734,306399,253819,173775
2024-10-08 22:09:19,1.4,333730,377018,211239,306364,253794,173281
2024-10-08 22:09:19,1.44,333847,377168,210953,306374,253828,172984
2024-10-08 22:09:19,1.48,333959,377303,211062,306416,253876,173038
2024-10-08 22:09:19,1.52,334089,377428,211254,306459,253904,173156
2024-10-08 22:09:19,1.56,334226,377546,211271,306512,253935,173129
2024-10-08 22:09:19,1.6,334327,377636,211206,306600,253995,173065
2024-10-08 22:09:19,1.64,334371,377690,211147,306687,254048,173025
2024-10-08 22:09:19,1.68,334345,377689,211017,306697,254003,172889
2024-10-08 22:09:20,1.72,334253,377618,210869,306573,253799,172658
2024-10-08 22:09:20,1.76,334172,377546,210963,306284,253510,172565
2024-10-08 22:09:20,1.8,334131,377495,211438,305895,253273,172814
2024-10-08 22:09:20,1.84,334060,377403,212056,305563,253116,173264
2024-10-08 22:09:20,1.88,333962,377289,212383,305367,253003,173519
2024-10-08 22:09:20,1.92,333873,377191,212236,305284,252941,173411
2024-10-08 22:09:20,1.96,333793,377105,211817,305287,252950,173117
2024-10-08 22:09:20,2,333809,377131,211536,305344,253017,172907
2024-10-08 22:09:20,2.04,334001,377331,211785,305395,253075,173029
2024-10-08 22:09:20,2.08,334263,377569,212468,305394,253072,173451
2024-10-08 22:09:20,2.12,334407,377673,212952,305357,253032,173761
2024-10-08 22:09:20,2.16,334393,377635,212935,305346,253020,173758
2024-10-08 22:09:20,2.2,335739,378920,214728,305427,253052,174534
2024-10-08 22:09:20,2.24,334336,377578,212788,305409,253070,173704
2024-10-08 22:09:20,2.28,335874,379053,215067,305540,253150,174811
2024-10-08 22:09:20,2.32,334355,377606,212890,305525,253162,173834
2024-10-08 22:09:20,2.36,336050,379226,215029,305629,253222,174737
