ts,time,c14,c16,c17,c20,c22,c23
2024-10-09 17:21:05,0,49298,65213,35726,60990,46561,40703
2024-10-09 17:21:05,0.04,48998,64835,35578,59512,45501,39703
2024-10-09 17:21:05,0.08,48665,64431,35350,57745,44243,38432
2024-10-09 17:21:05,0.12,48440,64190,35168,56691,43501,37640
2024-10-09 17:21:05,0.16,48361,64178,35089,56713,43525,37600
2024-10-09 17:21:05,0.2,48421,64317,35063,57381,43999,37972
2024-10-09 17:21:05,0.24,48593,64501,35023,58168,44551,38363
2024-10-09 17:21:05,0.28,48779,64662,34947,58810,44999,38608
2024-10-09 17:21:05,0.32,48896,64782,34880,59236,45303,38739
2024-10-09 17:21:05,0.36,48952,64874,34941,59538,45529,38959
2024-10-09 17:21:05,0.4,49001,64971,35190,59906,45794,39455
2024-10-09 17:21:05,0.44,49082,65101,35538,60441,46166,40172
2024-10-09 17:21:05,0.48,49213,65273,35851,61079,46610,40899
2024-10-09 17:21:05,0.52,49382,65465,36085,61694,47048,41503
2024-10-09 17:21:05,0.56,49543,65637,36261,62191,47410,41966
2024-10-09 17:21:05,0.6,49656,65745,36386,62423,47580,42209
2024-10-09 17:21:05,0.64,49675,65716,36413,62040,47296,41956
2024-10-09 17:21:05,0.68,49540,65497,36291,60761,46363,40992
2024-10-09 17:21:05,0.72,49285,65159,36075,59033,45116,39689
2024-10-09 17:21:05,0.76,49052,64872,35896,57876,44290,38839
2024-10-09 17:21:05,0.8,48917,64723,35814,57752,44213,38784
2024-10-09 17:21:05,0.84,48845,64665,35787,58248,44585,39188
2024-10-09 17:21:06,0.88,48803,64634,35769,58818,45002,39625
2024-10-09 17:21:06,0.92,48784,64602,35748,59217,45284,39916
2024-10-09 17:21:06,0.96,48782,64561,35721,59416,45414,40052
2024-10-09 17:21:06,1,48783,64515,35689,59516,45478,40117
2024-10-09 17:21:06,1.04,48767,64474,35652,59676,45595,40229
2024-10-09 17:21:06,1.08,48708,64425,35596,59953,45800,40423
2024-10-09 17:21:06,1.12,48582,64311,35493,60236,46009,40615
2024-10-09 17:21:06,1.16,48400,64131,35347,60432,46154,40742
2024-10-09 17:21:06,1.2,48228,63964,35214,60590,46265,40842
2024-10-09 17:21:06,1.24,48115,63844,35115,60735,46367,40929
2024-10-09 17:21:06,1.28,48044,63718,35017,60736,46370,40903
2024-10-09 17:21:06,1.32,47941,63520,34881,60253,46023,40503
2024-10-09 17:21:06,1.36,47740,63216,34687,58883,45035,39432
2024-10-09 17:21:06,1.4,47473,62882,34473,56870,43592,37888
2024-10-09 17:21:06,1.44,47269,62692,34336,55323,42500,36714
2024-10-09 17:21:06,1.48,47258,62739,34333,55059,42332,36508
2024-10-09 17:21:06,1.52,47442,62943,34427,55795,42870,37042
2024-10-09 17:21:06,1.56,47664,63131,34513,56729,43532,37705
2024-10-09 17:21:06,1.6,47760,63134,34467,57257,43898,38029
2024-10-09 17:21:06,1.64,47665,62875,34221,57171,43831,37851
2024-10-09 17:21:06,1.68,47367,62408,33837,56629,43444,37324
2024-10-09 17:21:06,1.72,46925,61884,33463,56009,43006,36798
2024-10-09 17:21:06,1.76,46502,61446,33215,55609,42731,36530
2024-10-09 17:21:06,1.8,46204,61139,33091,55450,42633,36500
2024-10-09 17:21:06,1.84,46012,60929,33009,55404,42613,36534
2024-10-09 17:21:07,1.88,45897,60783,32921,55366,42597,36517
2024-10-09 17:21:07,1.92,45839,60684,32838,55247,42520,36403
2024-10-09 17:21:07,1.96,45800,60615,32772,54818,42216,36039
2024-10-09 17:21:07,2,45757,60569,32730,53686,41409,35140
2024-10-09 17:21:07,2.04,45744,60576,32751,51809,40077,33697
2024-10-09 17:21:07,2.08,45831,60680,32875,49966,38772,32331
2024-10-09 17:21:07,2.12,46024,60871,33083,49096,38157,31750
2024-10-09 17:21:07,2.16,46249,61097,33318,49331,38320,32021
2024-10-09 17:21:07,2.2,46447,61325,33536,50110,38868,32691
2024-10-09 17:21:07,2.24,46421,61401,33980,49874,38724,32886
2024-10-09 17:21:07,2.28,46619,61525,33709,50856,39398,33310
2024-10-09 17:21:07,2.32,46270,61289,33928,48187,37532,31592
2024-10-09 17:21:07,2.36,46746,61644,33809,51277,39698,33661
2024-10-09 17:21:07,2.4,46286,61351,34012,47574,37102,31165
2024-10-09 17:21:07,2.44,46777,61654,33839,51375,39770,33768
2024-10-09 17:21:07,2.48,46449,61501,34155,47915,37345,31480
2024-10-09 17:21:07,2.52,46726,61616,33843,51384,39783,33818
2024-10-09 17:21:07,2.56,46636,61634,34272,48581,37810,32020
2024-10-09 17:21:07,2.6,46683,61618,33873,51554,39916,33994
2024-10-09 17:21:07,2.64,46758,61715,34347,49106,38172,32435
2024-10-09 17:21:07,2.68,46701,61690,33949,51946,40205,34340
2024-10-09 17:21:07,2.72,46810,61741,34388,49336,38335,32627
2024-10-09 17:21:07,2.76,46762,61782,34050,52444,40555,34761
2024-10-09 17:21:07,2.8,46790,61707,34384,49334,38345,32648
2024-10-09 17:21:07,2.84,46822,61840,34132,52885,40855,35132
2024-10-09 17:21:07,2.88,46714,61624,34339,49285,38319,32630
2024-10-09 17:21:07,2.92,46867,61858,34184,53188,41061,35396
2024-10-09 17:21:07,2.96,46882,61852,34216,53305,41146,35520
2024-10-09 17:21:07,3,46820,61794,34209,52983,40924,35298
2024-10-09 17:21:07,3.04,46647,61624,34118,51800,40088,34387
2024-10-09 17:21:08,3.08,46641,61539,34288,49361,38369,32698
2024-10-09 17:21:08,3.12,46614,61491,34260,49588,38518,32873
2024-10-09 17:21:08,3.16,46621,61468,34255,49864,38708,33082
2024-10-09 17:21:08,3.2,46622,61432,34249,50071,38861,33250
2024-10-09 17:21:08,3.24,46586,61371,34232,50167,38939,33347
2024-10-09 17:21:08,3.28,46507,61305,34201,50117,38915,33325
2024-10-09 17:21:08,3.32,46405,61228,34145,49693,38623,32984
2024-10-09 17:21:08,3.36,46296,61123,34058,48508,37790,32015
2024-10-09 17:21:08,3.4,46201,61043,33985,46609,36454,30480
2024-10-09 17:21:08,3.44,46180,61077,34004,44832,35210,29067
2024-10-09 17:21:08,3.48,46283,61233,34127,44013,34639,28441
2024-10-09 17:21:08,3.52,46483,61443,34293,44170,34750,28590
2024-10-09 17:21:08,3.56,46697,61657,34448,44762,35170,29071
2024-10-09 17:21:08,3.6,46878,61851,34578,45322,35567,29514
2024-10-09 17:21:08,3.64,47006,61978,34664,45645,35792,29766
2024-10-09 17:21:08,3.68,47051,62015,34696,45740,35853,29842
2024-10-09 17:21:08,3.72,47034,62022,34708,45779,35884,29883
2024-10-09 17:21:08,3.76,47035,62069,34745,45951,36016,30034
2024-10-09 17:21:08,3.8,47090,62160,34818,46308,36272,30330
2024-10-09 17:21:08,3.84,47169,62244,34892,46746,36574,30687
2024-10-09 17:21:09,3.88,47229,62271,34922,47124,36829,30984
2024-10-09 17:21:09,3.92,47246,62254,34913,47386,37006,31182
2024-10-09 17:21:09,3.96,47228,62246,34907,47559,37130,31312
2024-10-09 17:21:09,4,47209,62235,34899,47584,37148,31320
2024-10-09 17:21:09,4.04,47187,62135,34827,47142,36825,30940
2024-10-09 17:21:09,4.08,47123,61904,34657,45863,35912,29893
2024-10-09 17:21:09,4.12,47002,61668,34481,44061,34631,28435
2024-10-09 17:21:09,4.16,46900,61633,34449,42768,33693,27370
